section,applicant,project_no,rank,leg_district,description,estimated_amount
SUPPLEMENTAL,Ewing Lawrence Sewer Authority,S340391-10-1,171,,Wastewater Treat Plant Upgrade,4900000
SUPPLEMENTAL,North Hudson Sewer Authority,S340952-19-1,97,,Combined Sewer Improv.,200000
SUPPLEMENTAL,Wanaque Valley Reg. Sewer Authority,S340780-04-1,186,,2013 Proposed Improv.s,1500000
SUPPLEMENTAL,Warren Township Sewer Authority,S340964-01-1,21,,Stage IV Oxidation Ditch/Final Clarifier & UV Disinfection Syst,100000
SUPPLEMENTAL,Warren Township Sewer Authority,S340964-02-1,285,,Fox Hill West & Heather Lane Pump Station,350000
BASE/SANDY,Aberdeen Township,S340869-02,660,,San. Sewer and Pump Sta. upgrades to Freneau / Woodfield Area.,9000000
BASE/SANDY,Atlantic County Utilities Authority,S340809-23,75,,ACUA Treatment Plant Resiliency Project - Emergency Power,9200000
BASE/SANDY,Atlantic County Utilities Authority,S340809-25,75,,Seawall,14600000
BASE/SANDY,Atlantic County Utilities Authority,S340809-26,75,,STP Mitigation Projects,1500000
BASE/SANDY,Atlantic County Utilities Authority,S340809-27,75,,Automated Bar Screens,3200000
BASE/SANDY,Atlantic County Utilities Authority,S340809-24,315,,ACUA Pump Station Resiliency Project,800000
BASE/SANDY,Atlantic County Utilities Authority,S340809-29,315,,Replace a portion of Brigantine Force Main,4300000
BASE/SANDY,Atlantic County Utilities Authority,S340809-28,523,,Incinerator Construction to meet EPA requirements,2400000
BASE/SANDY,Barnegat Township,S344130-01,223,,Jet-Vac Truck for Sanitary Sewer / Stormwater Cleaning/Maintenance,600000
BASE/SANDY,Bayshore Regional Sewer Authority,S340697-05,72,,Restoration and Flood Mitigation,58072111
BASE/SANDY,Bayshore Regional Sewer Authority,S340697-06,72,,Phase II Perm. Restor/Mitigation of Blower Bldg & Pwr Dist. System,19000000
BASE/SANDY,Bellmawr Borough,S342011-02,843,,Waterfront Development Remediation,68400000
BASE/SANDY,Bradley Beach Borough,S340472-01,476,,Sewer Main Installation and Repairs - Phase I,2700000
BASE/SANDY,Brick Township,S340448-11,333,,Wastewater Pump Station Rehabilitation - Phase II,5278297
BASE/SANDY,Brigantine City,S340827-05,770,,Flood Control and Pump Station,4600000
BASE/SANDY,Burlington Township,S340712-15,389,,Sanitary Sewer Rehabilitation in Various Locations,1100000
BASE/SANDY,Camden City,S340366-07,29,,2014 Sanitary/Combined Sewer Rehab / Replacement Project,59000000
BASE/SANDY,Camden County,S345040-01,4,,Camden City and Gloucester City Long- Term CSO Control Plan,1049636
BASE/SANDY,Camden County,S340640-20,2,,Camden City Green Infrastructure,6500000
BASE/SANDY,Camden County Municipal Utilities Authority,S340640-24,4,,Upgrade of Camden County Wastewater Treatment Plant to Increase Wet Weather Capacity,6500000
BASE/SANDY,Camden County,S340640-21,11,,Camden City Waterfront Stormwater Pumping Station,32500000
BASE/SANDY,Camden County,S340640-22,11,,Upgrades to Camden City's Combined Sewer Overflow System,13000000
BASE/SANDY,Camden County Municipal Utilities Authority,S340640-23,11,,Dredging of Camden City's Combined Sewer Overflows to Reduce Combined Sewage Flooding,13000000
BASE/SANDY,Camden County,S340640-19,1,,"Camden City Green and Grey Infrastructure Project, Phase 4",11500000
BASE/SANDY,Camden County,S340640-17,3,,Reduce Potential for CSOs within City,6650000
BASE/SANDY,Camden County,S340640-15,6,,CSO Green Infrastructure,9100000
BASE/SANDY,Camden County,S340640-16,19,,Wastewater Treatment Plant Improv.s,13300000
BASE/SANDY,Camden County,S340640-18,33,,"Phase I upgrades, improve/sustain optimal wastewater performance",50664200
BASE/SANDY,Cape May County,S342017-04,936,,Sanitary Landfill,5800000
BASE/SANDY,Carteret Borough,S340939-09,744,,Noe Street Stormwater Pump Station Construction,10600000
BASE/SANDY,Carteret Borough,S340939-07,927,,Dredge sediment & construct bulkhead / slope stabilization,23900000
BASE/SANDY,Cinnaminson Sewerage Authority,S340170-07,183,,"Aerators, Dissolve ox. controls, anoxic zone, odor control equip",9000000
BASE/SANDY,Cinnaminson Sewerage Authority,S340170-08,623,,Taylor's Lane Sewer Extension,1160000
BASE/SANDY,Cranford Township,S340858-04,700,,Stormwater constr. various locations to improve drainage/prevent flooding,12000000
BASE/SANDY,Cumberland County Improv. Authority,S342015-03,846,,Landfill Expansion (Phase VI development & Leachate Pump Station improv),19000000
BASE/SANDY,Cumberland County Utilities Authority,S340550-07,130,,Sewage Treatment Plant Upgrades,1300000
