section,applicant,project_no,rank,leg_district,description,estimated_amount
SUPPLEMENTAL,Gloucester City,0414001-020-1,220,,Water St Water Main Replacement / Loop Mains to Freedom Pier,1300000
SUPPLEMENTAL,North Jersey District Water Supply Commission,1613001-017-1,89,,Wanaque South Pump Station Upgrade,3600000
BASE/SANDY,"NJ American Water Company, Incorporated",1345001-019,311,,Howell-Lakewood Transmission Main,60000000
BASE/SANDY,Woodland Heights,1615022-001,385,,Well Rehabilitation/System Improvements,560000
BASE/SANDY,Brick Township Municipal Utilities Authority,1506001-009,285,,Breton Woods Water Main Replacement - Phase I,5928760
BASE/SANDY,Brick Township Municipal Utilities Authority,1506001-008,285,,Undersized Water Main Replacement Cedar Park East and West,6223437
BASE/SANDY,Brick Township Municipal Utilities Authority,1506001-010,287,,Hydrant Replacement in Baywood Section,1160000
BASE/SANDY,Elmer Borough,1702001-001,369,,Repainting and Repair of the Water Storage Tower,800000
BASE/SANDY,Sussex Borough,1921001-005,107,,Lake Rutherford Water Line Installation,1221600
BASE/SANDY,Spotswood Borough,1224001-001,359,,"Cleaning and lining of approximaty 3,600 LF of water mains",3443914
BASE/SANDY,Aberdeen Township,1330004-001,343,,Woodfield Area Water System,3900000
BASE/SANDY,ADTI Housing Corporation,2103002-001,14,,Chlorination system,400000
BASE/SANDY,Atlantic City Municipal,0102001-006,44,,1 MG Storage Tank Sand Blasting and,2100000
BASE/SANDY,Bayonne Municipal Utilities Authority,0901001-006,386,,Aqueduct Replacement,12000000
BASE/SANDY,Berkeley Township Municipal Utilities Authority,1505004-008,84,,Phase VI Water Main Installation,3500000
BASE/SANDY,Berkeley Township Municipal Utilities Authority,1505004-007,180,,BTMUA Well #4 Phase II Production Well,1400000
BASE/SANDY,Berkeley Township Municipal Utilities Authority,1505004-009,180,,Installation of new well #4 with WM to connect to WTP,1400000
BASE/SANDY,Bordentown City,0303001-006,29,,Upgrade Well 2 with 2A to resolve,1600000
BASE/SANDY,Bordentown City,0303001-007,254,,Water System Remediation Upgrades,2900000
BASE/SANDY,Brick Township Municipal Utilities Authority,1506001-007,244,,Chlorine Disinfection System Relocation,3800000
BASE/SANDY,Camden City,0408001-021,74,,New Auto Meter Reading Equip for,1800000
BASE/SANDY,Camden City,0408001-022,93,,Install potable wells/flr elevations @ Morris Delair WTP,1400000
BASE/SANDY,Cape May City,0502001-004,191,,Well 5 Replacement for the Sands,2200000
BASE/SANDY,Clementon Borough,0411001-001,238,,Rehab of Gibbsboro Water Main (White Horse Pike & White Horse Rd.),500000
BASE/SANDY,Clementon Borough,0411001-002,474,,Rehab of well 9 including slip lining to improve conveyance,1400000
BASE/SANDY,Clinton Town,1005001-006,348,,Lebanon Borough Water Main,4300000
BASE/SANDY,Clinton Town,1005001-009,558,,Well 7 Improv.s & Well 14,1200000
BASE/SANDY,East Orange City,0705001-014,32,,Water System Improv.s and Resiliency Project 2017,33000000
BASE/SANDY,Evesham Municipal Utilities Authority,0313001-001,247,,Wells 13 & 14 Treatment Improv.s,2100000
BASE/SANDY,Gloucester City,0414001-020,220,,Water main replacement and looping of mains to Freedom Pier,1259000
BASE/SANDY,Gloucester City,0414001-022,231,,"Replacement of 1,200 LF of 8"" cast iron main on Brown Street",1200000
BASE/SANDY,Hammonton Town,0113001-011,232,,"2016 Utility Road Program Valley, Central & Bellevue Ave to Broadway",1900000
BASE/SANDY,Hampton Borough,1013001-001,489,,New back up well 5 to address firm capacity requirements,1800000
BASE/SANDY,Hoboken City,0905001-001,190,,Wash. Street Water Main / Green Infrastructure Drainage Improv.,6000000
BASE/SANDY,Jackson Township Municipal Utilities Authority,1511001-013,177,,Six Flags Great Adventure Water Treatment Plant Replacement,13194799
BASE/SANDY,Jackson Township Municipal Utilities Authority,1511001-010,193,,"Demolition of Facilities, replace storage tank, well #3",8200000
BASE/SANDY,Jackson Township Municipal Utilities Authority,1511001-012,395,,Western Water Main Extension,11000000
BASE/SANDY,Jackson Township Municipal Utilities Authority,1511001-011,446,,"Improv.s to Manhattan St Complex, Garage & Admin Bldg.",1600000
BASE/SANDY,Jersey City Municipal Utilities Authority,0906001-006,137,,Transmission Main Install,19000000
BASE/SANDY,Jersey City Municipal Utilities Authority,0906001-010,137,,Journal Square North Cleaning,16900000
BASE/SANDY,Jersey City Municipal Utilities Authority,0906001-012,137,,Water Main Replacement,18000000
BASE/SANDY,Jersey City Municipal Utilities Authority,0906001-013,390,,Remote Meter Reading (AMI),9300000
BASE/SANDY,Kearny Town,0907001-001A,201,,Water Facility and ground Improv.,29000000
BASE/SANDY,Lavallette Borough,1515001-001,360,,Repainting inside & outside of water,1331000
BASE/SANDY,Little Egg Harbor Municipal Utilities Authority,1516001-004,102,,Twin Lakes Water Main Replacement,2000000
BASE/SANDY,Little Egg Harbor Municipal Utilities Authority,1516001-005,103,,Little Egg Harbor Water Improv.s Phases I,6609594
BASE/SANDY,Little Egg Harbor Municipal Utilities Authority,1516001-003,514,,Water Treatment Plant at High Ridge Rd,4750000
BASE/SANDY,Little Egg Harbor Municipal Utilities Authority,1516001-500,514,,Radio Road Water Treatment Plant,800000
BASE/SANDY,Long Beach Township,1517001-502,250,,"Raise Well 4, reconstruct filter room &",3300000
BASE/SANDY,Manasquan Borough,1327001-002,298,,Construction of 600 LF of WM on Perrine Blvd & Mallard Park Area,1469468
BASE/SANDY,Manchester Township,1518005-002,101,,Repaint and repair one MG elevated storage facility,5500000
BASE/SANDY,Manchester Utilities Authority,1603001-014,447,,2014 Water System Improv.s,2000000
BASE/SANDY,Maple Shade Township,0319001-006,174,,Maple Shade Township meter upgrade,2600000
BASE/SANDY,Middlesex Water Company,1225001-026,150,,Renew 2017,13000000
BASE/SANDY,Middlesex Water Company,1225001-016,150,,Renew 2015 - Edison,5800000
BASE/SANDY,Middlesex Water Company,1225001-025,243,,Western Transmission Main,41000000
BASE/SANDY,Middlesex Water,1225001-023,326,,"Renew 2016, C&L of water mains,",8000000
BASE/SANDY,Middlesex Water,1225001-024,404,,"New Interconnection of PS, new table",3600000
BASE/SANDY,Milltown Borough,1212001-003,323,,Ford Ave Redevelopment Agency,1384000
BASE/SANDY,Montclair Township,0713001-008,546,,Nishuane Well Production & Treatment,2300000
BASE/SANDY,Netcong Borough,1428001-007,98,,"Replace WM on Rte. 46, extend WM on Rte. 80, replace meters",3700000
BASE/SANDY,Netcong Borough,1428001-009,166,,Replace old meters with automatic,400000
BASE/SANDY,Newark City,0714001-016,23,,Pequannock Water Treatment Plant,11000000
BASE/SANDY,Newark City,0714001-015,33,,Rehabilitation of Water Distribution,18200000
BASE/SANDY,Newark City,0714001-018,83,,Replacement of Water Distribution,4800000
BASE/SANDY,"NJ American Water Company, Incorporated",1345001-017,9,,Oak Street Treatment Plant Improv.s,6500000
