section,applicant,project_no,rank,leg_district,description,estimated_amount
SUPPLEMENTAL,Burlington Township,S340712-14-1,,,Sewer Rehabilitation,200000
SUPPLEMENTAL,Manasquan Borough,S340450-01-1,,,"Stormwater, PS Improvement",2110000
SUPPLEMENTAL,Mendham Township,S340477-01-1,,,Effluent Disposal Repair,2154000
SUPPLEMENTAL,North Hudson Sewer Combined Sewer,S340952-19-1,,,Authority Improvements,700000
SUPPLEMENTAL,Warren Township Sewer Fox Hill West & Heather Lane,S340964-02-1,,,Authority Pump Station,350000
BASE/SANDY,Aberdeen Township,S340869-02,661,,Upgrades,9000000
BASE/SANDY,Allentown Borough,S340567-05,199,,Sewer Plant Modifications,3112994
BASE/SANDY,Asbury Park City,S340883-08,915,,Sewer Plant,63000000
BASE/SANDY,Atlantic County Utilities Treatment Plant Resiliency,S340809-23,77,,Authority Project (SANDY),11040000
BASE/SANDY,Atlantic County Utilities,S340809-24,312,,Pump Station Resiliency,800000
BASE/SANDY,Atlantic County Utilities,S340809-25,77,,Seawall (SANDY),17520000
BASE/SANDY,Atlantic County Utilities Sewage Treatment Plant,S340809-26,77,,Authority Mitigation Projects,1500000
BASE/SANDY,Atlantic County Utilities Sewer Sludge Incinerator,S340809-28,524,,Authority Improvements,4100000
BASE/SANDY,Atlantic County Utilities Replace a portion of Brigantine,S340809-29,312,,Authority Force Main,4300000
BASE/SANDY,Avon By the Sea Borough,S340335-03,813,,Project,12488850
BASE/SANDY,Bayonne City,S340399-31,58,,Management Facilities and,1618539
BASE/SANDY,Bayshore Regional Sewer,S340697-05,74,,Restoration and Resiliency,13000000
BASE/SANDY,Bayshore Regional Sewer,S340697-06,74,,Blower Bldg. & Power,15100000
BASE/SANDY,Beach Haven Borough,S344220-01,166,,Pump replacement and,2038640
BASE/SANDY,Bellmawr Borough,S342011-02,837,,Remediation,68400000
BASE/SANDY,Berkeley Township,S344020-02,197,,Retention Basin at Moorage,905063
BASE/SANDY,Berkeley Township,S340969-12,726,,Stormwater/Equipment,706150
BASE/SANDY,Bradley Beach Borough,S340472-01,476,,Repairs - Phase I,2700000
BASE/SANDY,Bradley Beach Borough,S340472-02,799,,Rehab,2590050
BASE/SANDY,Brick Township Municipal Wastewater Pump Station,S340448-11,329,,,5278297
BASE/SANDY,Brick Township Municipal,S340448-12,329,,Rehabilitation and,4824000
BASE/SANDY,Brigantine City,S340827-04,435,,(SANDY),3300000
BASE/SANDY,Brigantine City,S340827-05,765,,Station Improvements,4600000
BASE/SANDY,Brigantine City,S340827-06,765,,Improvements,1001066
BASE/SANDY,Burlington City,S340140-01,692,,Stormwater Pump upgrades,1700000
BASE/SANDY,Burlington Township,S340712-16,383,,Sanitary Sewer Rehabilitation,960000
BASE/SANDY,Camden City,S340366-07,27,,Sewer Rehab / Replacement,59000000
BASE/SANDY,Camden City,S340366-12,27,,Station,2300000
BASE/SANDY,Camden City,S340366-13,27,,Street Pump Station,12000000
BASE/SANDY,Camden City,S340366-14,27,,(10) Combined Sewer Outfalls.,9370000
