section,applicant,project_no,rank,leg_district,description,estimated_amount
SUPPLEMENTAL,North Hudson Sewer Authority,S340952-19-1,,"32,33",Combined Sewer Improvements,700000
SUPPLEMENTAL,Rockaway Valley RSA,S340821-06-1,,40,Old Jersey Trunk Sewer Replacement,775000
SUPPLEMENTAL,21,S340964-02-1,,,,350000
BASE/SANDY,Aberdeen Township,S340869-02,,13,Sanitary Sewer and PS Upgrades,9000000
BASE/SANDY,Allentown Borough,S340567-05,,12,Sewer Plant Modifications,3112994
BASE/SANDY,Allentown Borough,S340567-06,,12,Water Meter Replacement,664938
BASE/SANDY,Asbury Park City,S340883-08,,11,Sewer Plant,63000000
BASE/SANDY,"2,9",S340809-24,,,Pump Station Resiliency,500000
BASE/SANDY,"2,9",S340809-29,,,,4300000
BASE/SANDY,"2,9",S340809-28,,,,4100000
BASE/SANDY,Bayonne City,S340399-31,,31,Facilities and Park Improvements,1618539
BASE/SANDY,"12,13",S340697-06,,,Bldg. & Power Distribution System,15100000
BASE/SANDY,Beach Haven Borough,S344220-01,,9,replacement and drainage,2038640
BASE/SANDY,Bellmawr Borough,S342011-02,,5,Remediation,68400000
BASE/SANDY,Bergen County Utilities,S340386-24,,"20,23,36,37,38,",Tank Header Improvements,1950000
BASE/SANDY,Bergen County Utilities,S340386-23,,"20,23,36,37,38,",Sludge Digester Improvements,17820000
BASE/SANDY,Bergen County Utilities Infrastructure Protection,S340386-19,,"20,23,36,37,38,",,3240000
BASE/SANDY,Bergen County Utilities,S340386-20,,"20,23,36,37,38,",Primary Settling Tanks Improvements,9000000
BASE/SANDY,Bergen County Utilities,S340386-21,,"20,23,36,37,38,",Final Settling Tanks Improvements,1920000
BASE/SANDY,Bergen County Utilities Facility Assessment and,S340386-22,,"20,23,36,37,38,",,5690000
BASE/SANDY,Bergen County Utilities,S340386-14,,"20,23,36,37,38,",All offsite mitigation improvements,54172587
BASE/SANDY,Bergen County Utilities Power Supply mitigation,S340386-15,,"20,23,36,37,38,",,42094280
BASE/SANDY,Bergen County Utilities All Plant wide mitigation,S340386-16,,"20,23,36,37,38,",,19537263
BASE/SANDY,Bergen County Utilities,S340386-18,,"20,23,36,37,38,",Pump Station Resiliency Project,2491339
BASE/SANDY,Berkeley Township,S344020-02,,9,Retention Basin at Moorage Park,905063
BASE/SANDY,Berkeley Township,S340969-12,,9,Stormwater/Equipment,706150
BASE/SANDY,Bradley Beach Borough,S340472-01,,30,Phase I,2700000
BASE/SANDY,Bradley Beach Borough,S340472-02,,30,Bradley Boulevard Stormwater Rehab,2590050
BASE/SANDY,10,S340448-11,,,Utilities Authority Rehabilitation - Phase II,5278297
BASE/SANDY,"10,30",S340448-12,,,Utilities Authority Rehabilitation and Replacement,4824000
BASE/SANDY,Brigantine City,S340827-04,,2,Emergency Generators (SANDY),3300000
