section,applicant,project_no,rank,leg_district,description,estimated_amount
SUPPLEMENTAL,,S340839‐06‐1,,,17,1000000
SUPPLEMENTAL,,S340952‐19‐1,,,"32,33",700000
SUPPLEMENTAL,Paterson City,S340850‐03‐1,,,35,2550000
SUPPLEMENTAL,Rockaway Valley RSA,S340821‐06‐1,,,40,775000
SUPPLEMENTAL,Somerville Borough,S342013‐01‐1,,,16,1850000
SUPPLEMENTAL,Somerville Borough,S340964‐02‐1,,,21,350000
RESIDUAL,Elizabeth City,S340942‐19R,,,20,275000
RESIDUAL,Hoboken City,S340635‐06R,,,33,40000000
RESIDUAL,Ocean Twp SA,S340750‐14R,,,11,1000000
BASE/SANDY,Aberdeen Township,S340869‐02,804,,13,9000000
BASE/SANDY,Allentown Borough,S340567‐05,251,12,Sewer Plant Modifications,5100000
BASE/SANDY,Allentown Borough,S340567‐06,1126,,12,664938
BASE/SANDY,Asbury Park City,S340883‐08,1074,11,Sewer Plant,63000000
BASE/SANDY,Asbury Park City,S340439‐04,1073,,2,2300000
BASE/SANDY,Asbury Park City,S340809‐29,399,,"2,9",4000000
BASE/SANDY,Asbury Park City,S340809‐30,403,,"2,9",10100000
BASE/SANDY,Bayonne City,S340399‐31,86,31,Management Facilities and,1618539
BASE/SANDY,Beach Haven Borough,S344220‐01,209,9,Pump replacement and,2038640
BASE/SANDY,Bellmawr Borough,S342011‐02,990,,5,68400000
BASE/SANDY,Bellmawr Borough,S340386‐14,,,219,54172587
BASE/SANDY,Bellmawr Borough,S340386‐15,,,219,42094280
BASE/SANDY,Bellmawr Borough,S340386‐16,,,219,19537263
BASE/SANDY,Bellmawr Borough,S340386‐18,,,219,2491339
BASE/SANDY,Bellmawr Borough,S340386‐19,,,213,3240000
BASE/SANDY,Bellmawr Borough,S340386‐20,,,213,9000000
BASE/SANDY,Bellmawr Borough,S340386‐21,,,213,7600000
BASE/SANDY,Bellmawr Borough,S340386‐22,,,213,5690000
BASE/SANDY,Bellmawr Borough,S340386‐23,213,,Sludge Digester Improvements,18700000
BASE/SANDY,Bellmawr Borough,S340386‐24,213,,Tank Header Improvements,1950000
