section,applicant,project_no,rank,leg_district,description,estimated_amount
BASE/SANDY,Aberdeen Township,1330004‐001,936,,13,3900000
BASE/SANDY,Allentown Borough,1302001‐002,920,,12,549100
BASE/SANDY,Allentown Borough,1302001‐004,247,,12,2328960
BASE/SANDY,Allentown Borough,0102001‐010,347,,2,150000
BASE/SANDY,Allentown Borough,0901001‐006,372,31,Aqueduct Replacement,12000000
BASE/SANDY,Belleville Township,0701001‐007,1132,,29,220000
BASE/SANDY,Belleville Township,1505004‐009,241,,9,2500000
BASE/SANDY,Belleville Township,1505004‐010,54,,9,8000000
BASE/SANDY,Bloomfield Township,0702001‐003,16,,28,1098395
BASE/SANDY,Bloomfield Township,0702001‐004,23,28,Interconnection Project,2600000
BASE/SANDY,Borough of Wenonah,0819001‐001,997,,5,2000000
BASE/SANDY,Borough of Wenonah,1506001‐008,254,"10,30",Replacement Cedar Park East,6550000
BASE/SANDY,Borough of Wenonah,1506001‐009,349,,"10,30",5928760
BASE/SANDY,Borough of Wenonah,1506001‐010,350,,"10,30",1160000
BASE/SANDY,Borough of Wenonah,1506001‐011,43,,"10,30",20890000
BASE/SANDY,Borough of Wenonah,1506001‐012,1031,"10,30",Meter Replacement,5420000
BASE/SANDY,Borough of Wenonah,1506001‐013,371,"10,30",Replacements at Various,4188419
BASE/SANDY,Borough of Wenonah,1506001‐014,119,,"10,30",3600000
BASE/SANDY,Brielle Borough,1308001‐004,992,,30,2460000
BASE/SANDY,Brielle Borough,1308001‐005,1026,,30,3600000
BASE/SANDY,Brigantine City,0103001‐501,989,,2,2900000
BASE/SANDY,Burlington City,0305001‐002,19,,7,3600000
BASE/SANDY,Burlington City,0301001‐001,13,9,Buttonwood system,318000
BASE/SANDY,Camden City,0408001‐022,116,,5 elevations @ Morris Delair,1400000
BASE/SANDY,Clementon Borough,0411001‐001,130,,4,500000
BASE/SANDY,Clementon Borough,0411001‐002,362,,4,1400000
BASE/SANDY,Clinton Town,1005001‐006,901,23,Replacements,4300000
BASE/SANDY,Clinton Town,1005001‐007,1123,23,Replace Water Meters,4277804
BASE/SANDY,Clinton Town,1005001‐010,212,,23,1448187
BASE/SANDY,Clinton Town,1005001‐011,212,,23 and Heather Hill Way WM,1265807
BASE/SANDY,Clinton Town,1005001‐012,901,23,Water Infrastructure Audit,3500000
BASE/SANDY,Clinton Town,1005001‐013,986,23,Station Modifications ‐ Asset,3000000
BASE/SANDY,Municipal Utilities,0802001‐002,379,,5,1550000
BASE/SANDY,Municipal Utilities,0802001‐003,379,,5,1200000
BASE/SANDY,East Greenwich,0803001‐004,77,,3,2280200
BASE/SANDY,East Orange City,0705001‐014,44,,34,33000000
BASE/SANDY,East Orange City,1101002‐005,892,,14,2000000
BASE/SANDY,East Orange City,0313001‐001,319,,8,2600000
BASE/SANDY,Flemington Borough,1009001‐009,363,,16,4500000
BASE/SANDY,Freehold Borough,1315001‐002,145,11,Water Plant Development,6440000
BASE/SANDY,Freehold Borough,1315001‐003,961,11,Replacement of Well No. 3,2152400
BASE/SANDY,Glassboro Borough,0806001‐001,382,,3,3250000
BASE/SANDY,Glen Ridge Borough,0708001‐008,216,28,Hydrants & Water System,2573210
BASE/SANDY,Hamburg Borough,1909001‐001,1135,,24,85000
BASE/SANDY,Hamburg Borough,1909001‐002,364,,24,1100000
BASE/SANDY,Hampton Borough,1013001‐001,1050,,23,1800000
BASE/SANDY,Hampton Borough,1911006‐001,1073,24,Water Meter Replacement,477400
BASE/SANDY,Hampton Borough,1911006‐003,1175,24,Asset Management Plan,100000
BASE/SANDY,Harvey Cedars Borough,1509001‐002,1145,,9,1100000
BASE/SANDY,Highbridge Borough,1014001‐001,1171,,23,100000
BASE/SANDY,Highbridge Borough,1014001‐002,1072,,23,1076758
BASE/SANDY,Hightstown Borough,1104001‐009,160,,14,950000
BASE/SANDY,Hightstown Borough,1104001‐010,307,14,Water Main Improvements,1775678
BASE/SANDY,Hoboken City,0905001‐001,255,33,Green Infrastructure Drainage,8500000
BASE/SANDY,Hoboken City,0905001‐002,200,33,Water Main Upgrades,8000000
BASE/SANDY,Hoboken City,0905001‐003,373,,33,5200000
BASE/SANDY,Hopatcong Borough,1912001‐001,128,,24,1000000
BASE/SANDY,Hopatcong Borough,1912001‐004,1134,,24,100000
BASE/SANDY,Municipal Utilities,1511001‐010,259,,12,8200000
BASE/SANDY,Municipal Utilities,1511001‐011,992,12,"St Complex, Garage & Admin",1600000
BASE/SANDY,Municipal Utilities,1511001‐012,955,,12,11000000
BASE/SANDY,Municipal Utilities,1511001‐013,236,12,Water Treatment Plant,20000000
BASE/SANDY,Municipal Utilities,0906001‐006,179,"31,33",Transmission Main Install,19000000
BASE/SANDY,Municipal Utilities,0906001‐009,176,,"31,33",2770000
BASE/SANDY,Municipal Utilities,0906001‐010,176,"31,33",Journal Square North Cleaning,16900000
BASE/SANDY,Municipal Utilities,0906001‐012,166,"31,33",Water Main Replacement,18000000
BASE/SANDY,Municipal Utilities,0906001‐015,251,,"31,33",3589266
BASE/SANDY,Municipal Utilities,0906001‐016,165,,"31,33",7321200
BASE/SANDY,Municipal Utilities,0906001‐017,80,"31,33",Boonton Plant Centrifuge,1740240
BASE/SANDY,Municipal Utilities,0906001‐018,178,,"31,33",7442800
BASE/SANDY,Municipal Utilities,0906001‐019,102,,"31,33",6700000
BASE/SANDY,Municipal Utilities,0906001‐020,232,,"31,33",6620000
BASE/SANDY,Municipal Utilities,0906001‐021,232,"31,33",Phase 5 Water Mains,11000000
BASE/SANDY,Municipal Utilities,0906001‐023,229,"31,33",Phase 5A Water Project,9300000
BASE/SANDY,Municipal Utilities,0906001‐024,229,"31,33",Phase 2A Water,11640000
BASE/SANDY,Municipal Utilities,0906001‐025,166,,"31,33",25100000
BASE/SANDY,Municipal Utilities,0906001‐026,166,,"31,33 5‐B Water Project",7320000
BASE/SANDY,Municipal Utilities,0906001‐027,88,,"31,33",8500000
BASE/SANDY,Municipal Utilities,0906001‐028,268,"31,33",Dam Security Improvements,1700000
BASE/SANDY,Municipal Utilities,0906001‐029,89,,"31,33",19000000
BASE/SANDY,Lakehurst Borough,1513001‐002,390,,10,1200000
BASE/SANDY,Municipal Utilities,1516001‐003,1091,,9,5525000
BASE/SANDY,Municipal Utilities,1516001‐005,105,,9,1450000
BASE/SANDY,Long Beach Township,1517001‐015,907,,9,4159201
