section,applicant,project_no,rank,leg_district,description,estimated_amount
SUPPLEMENTAL,,S340839-06-1,N/A,,17,1000000
SUPPLEMENTAL,Paterson City,S340850-03-1,N/A,,35,2550000
SUPPLEMENTAL,Rockaway Valley RSA,S340821-06-1,N/A,,40,775000
SUPPLEMENTAL,Rockaway Valley RSA,S340756-02-01,N/A,,40,1000000
SUPPLEMENTAL,Somerville Borough,S342013-01-1,N/A,,16,1850000
RESIDUAL,Somerville Borough,S340640-18R,N/A,5,Improve/Sustain Optimal,10000000
RESIDUAL,Elizabeth City,S340942-19R,N/A,,20,275000
RESIDUAL,Hoboken City,S340635-06R,N/A,33,Construction on 6 Acre Park &,40000000
RESIDUAL,North Bergen MUA,S340652-14R,N/A,,32,6000000
RESIDUAL,Ocean Twp SA,S340750-14R,N/A,,11,1000000
RESIDUAL,Plumsted Township,S340607-03R,N/A,,12,10000000
RESIDUAL,Rockaway Valley RSA,S340821-07R,N/A,,40 $,3000000
BASE/SANDY,Allentown Borough,S340567-05,270,12,Sewer Plant Modifications,5100000
BASE/SANDY,Allentown Borough,S340567-06,1186,,12,664938
BASE/SANDY,Asbury Park City,S340883-08,1131,11,Sewer Plant,63000000
BASE/SANDY,Asbury Park City,S340439-04,1130,,2,3066667
BASE/SANDY,Asbury Park City,S340809-29,440,,"2,9",4000000
BASE/SANDY,Asbury Park City,S340809-30,444,,"2,9",10100000
BASE/SANDY,Asbury Park City,S342001-03,1049,"1,2,8,9",MSE Berm Construction,36042396
BASE/SANDY,Bayonne City,S340399-31,95,,31,2200000
BASE/SANDY,Bayonne City,S340697-07,113,13,Power Resiliency Project 5182,23500000
BASE/SANDY,Beach Haven Borough,S344220-01,228,,9,2038640
BASE/SANDY,Beach Haven Borough,S340386-19,,,232,3240000
BASE/SANDY,Beach Haven Borough,S340386-20,,,232,9000000
BASE/SANDY,Beach Haven Borough,S340386-21,,,232,7600000
BASE/SANDY,Beach Haven Borough,S340386-22,,,232,5690000
BASE/SANDY,Beach Haven Borough,S340386-23,232,,Sludge Digester Improvements,18700000
BASE/SANDY,Beach Haven Borough,S340386-24,232,,Tank Header Improvements,1950000
BASE/SANDY,Beach Haven Borough,S340386-13,,,287,70000000
BASE/SANDY,Beach Haven Borough,S340386-15,,,238,57000000
BASE/SANDY,Beach Haven Borough,S340386-16,,,238,42000000
BASE/SANDY,Beach Haven Borough,S340386-18,238,,Pump Station Resiliency Project,2491339
BASE/SANDY,Beach Haven Borough,S340386-25,,,434,4000000
BASE/SANDY,Beach Haven Borough,S340386-26,,,286,3000000
BASE/SANDY,Berkeley Heights Township,S340385-05,26,21,STP Upgrade,2000000
BASE/SANDY,Berkeley Heights Township,S340385-06,954,21,West Side Drainage Project,25500000
BASE/SANDY,Berkeley Township,S344020-02,268,,9,905063
BASE/SANDY,Berkeley Township,S344020-01,268,,9,905063
BASE/SANDY,Berkeley Township,S340969-14,508,,9,3000000
BASE/SANDY,Bloomfield Township,S340516-01,1165,,13,7230970
BASE/SANDY,Borough of Wenonah,S340531-01,676,5,Asset Management and System,1330000
BASE/SANDY,Bradley Beach Borough,S340472-01,651,,30,2700000
BASE/SANDY,Bradley Beach Borough,S340448-11,468,,10,5700000
