section,applicant,project_no,rank,leg_district,description,estimated_amount
BASE/SANDY,Allentown Borough,1302001-004,279,,12,2328960
BASE/SANDY,Allentown Borough,1302001-002,950,,12,549100
BASE/SANDY,Allentown Borough,1302001-001,1171,12,Asset Management Plan,100000
BASE/SANDY,Allentown Borough,0102001-010,377,2,Services In Compliance With,150000
BASE/SANDY,Allentown Borough,0102001-007,118,,2,1620000
BASE/SANDY,Allentown Borough,0901001-006,402,31,Aqueduct Replacement,12000000
BASE/SANDY,Belleville Township,0701001-007,1166,,29,220000
BASE/SANDY,Belleville Township,0701001-008,35,,29,3568752
BASE/SANDY,Municipal Utilities,1505004-010,68,,9,8000000
BASE/SANDY,Municipal Utilities,1505004-009,273,,9,2500000
BASE/SANDY,Bloomfield Township,0702001-003,21,28,Lead Service Line Replacement,1098395
BASE/SANDY,Bloomfield Township,0702001-004,28,28,Interconnection Project,2600000
BASE/SANDY,Bloomfield Township,0702001-001,382,,28,1700000
BASE/SANDY,Bloomfield Township,0702001-005,28,,28,8000000
BASE/SANDY,Bordentown City,0303001-001,1155,,7,3000000
BASE/SANDY,Borough of Wenonah,0819001-001,1028,,5,2000000
BASE/SANDY,Borough of Wenonah,1506001-011,56,,"10,30",20890000
BASE/SANDY,Borough of Wenonah,1506001-014,140,,"10,30",3600000
BASE/SANDY,Borough of Wenonah,1506001-008,286,"10,30",Replacement Cedar Park East,6550000
BASE/SANDY,Borough of Wenonah,1506001-009,379,,"10,30",5928760
BASE/SANDY,Borough of Wenonah,1506001-013,401,"10,30",Replacements at Various,4188419
BASE/SANDY,Bridgeton City,0601001-006,101,3,Well 14/15 Rehabilitation,6810000
BASE/SANDY,Brielle Borough,1308001-004,1023,,30,2460000
BASE/SANDY,Brielle Borough,1308001-005,1058,,30,3600000
BASE/SANDY,Brigantine City,0103001-501,1020,,2,2900000
BASE/SANDY,Burlington City,0305001-002,24,,7,3600000
BASE/SANDY,Burlington City,0301001-001,41,9,Buttonwood system,318000
BASE/SANDY,Camden City,0408001-022,137,,5 elevations @ Morris Delair,1400000
BASE/SANDY,Clementon Borough,0411001-001,153,,4,500000
BASE/SANDY,Clementon Borough,0411001-002,392,,4,1400000
BASE/SANDY,Clinton Town,1005001-010,241,,23,2640000
BASE/SANDY,Clinton Town,1005001-011,241,,23 and Heather Hill Way WM,1265807
BASE/SANDY,Clinton Town,1005001-006,931,23,Replacements,4300000
BASE/SANDY,Clinton Town,1005001-012,931,23,Infrastructure Audit and,3500000
BASE/SANDY,Clinton Town,1005001-013,1017,23,Station Modifications - Asset,3000000
BASE/SANDY,Clinton Town,1005001-007,1157,23,Replace Water Meters,4277804
BASE/SANDY,Municipal Utilities,0802001-002,409,,5,1550000
BASE/SANDY,Municipal Utilities,0802001-003,409,,5,1200000
BASE/SANDY,East Greenwich,0803001-004,93,,3,2600000
BASE/SANDY,East Orange City,0705001-014,57,,34,33000000
BASE/SANDY,East Orange City,1101002-005,922,,14,2000000
BASE/SANDY,East Orange City,0313001-001,350,,8,2600000
BASE/SANDY,Farmingdale Borough,1314001-002,956,,30 tower and other misc system,907000
BASE/SANDY,Flemington Borough,1009001-009,393,,16,4500000
BASE/SANDY,Freehold Borough,1315001-002,168,11,Water Plant Development,6440000
BASE/SANDY,Freehold Borough,1315001-003,992,11,Replacement of Well No. 3,2152400
BASE/SANDY,Glassboro Borough,0806001-001,412,,3,3250000
BASE/SANDY,Glen Ridge Borough,0708001-008,246,,28,2573210
