section,applicant,project_no,rank,leg_district,description,estimated_amount
SUPPLEMENTAL,Paterson City,S340850-03-1,N/A,,35,2550000
SUPPLEMENTAL,Somerville Borough,S342013-01-1,N/A,16,Green Seam Phase II Ground Water Treatment,1850000
RESIDUAL,Clinton Town,S340924-07R,N/A,,23,800000
RESIDUAL,Hoboken City,S340635-06R,N/A,,33,33000000
RESIDUAL,Hoboken City,S340928-15R,N/A,"31, 33",Phase 3 & 4 Sewer Improvements,3500000
RESIDUAL,Newark City,S340815-24R,N/A,,"28,29",21000000
RESIDUAL,North Bergen MUA,S340652-14R,N/A,32,Woodcliff Additional Improvements,8200000
RESIDUAL,Ocean Twp SA,S340750-14R,N/A,,11,1000000
RESIDUAL,Ocean Twp SA,S340689-40R,N/A,,"32,33,34,35,",1500000
RESIDUAL,Plumsted Township,S340607-03R,N/A,12,Advanced WW treatment & collection system,10000000
RESIDUAL,Rutgers University,S340500-01R,N/A,11,Busch Cogeneration Plant Upgrade,4200000
BASE/SANDY,Allamuchy Township,S340256-03,166,24,Sand Filter Replacement Project,3000000
BASE/SANDY,Asbury Park City,S340883-08,924,11,Sewer Plant,63000000
BASE/SANDY,Atlantic City,S340439-05,536,2,Stormwater Improvements,1100000
BASE/SANDY,Atlantic City,S340439-04,934,2,Water Meter and MTU Replacement,3066667
BASE/SANDY,Atlantic City,S340809-31,551,"2,9",ACUA Solids Handling Phase I Improvements,20000000
BASE/SANDY,Bay Head Borough,S340590-03,523,10,Sewer collection system upgrade,3500000
BASE/SANDY,Bayonne City,S340399-31,54,,31,5000000
BASE/SANDY,Bayonne City,S340399-32,54,,31,1000000
BASE/SANDY,Bayonne City,S340697-07,73,13,Power Resiliency Project 5182,31000000
BASE/SANDY,Bayonne City,S340697-08,555,,13,21000000
BASE/SANDY,Beach Haven Borough,S344220-01,143,,9,3600000
BASE/SANDY,Beach Haven Borough,S340386-13,,,207,74000000
BASE/SANDY,Beach Haven Borough,S340386-15,151,,Power Supply mitigation improvements,97510000
