section,applicant,project_no,rank,leg_district,description,estimated_amount
BASE/SANDY,Allamuchy Township,2101001-001,515,24,Water Storage Tank Replacement,500000
BASE/SANDY,Allentown Borough,1302001-002,448,12,Elevated Water Tank Improvements,549100
BASE/SANDY,Allentown Borough,1302001-001,650,12,Asset Management Plan,100000
BASE/SANDY,Allentown Borough,1302001-004,252,12,Water Treatment Plant Improvements,2328960
BASE/SANDY,Allentown Borough,1302001-005,67,12,Lead Service Line replacement,3000000
BASE/SANDY,Aqua New Jersey Incorporate,1107002-001,219,15,Lead Service Line Replacements Lawrenceville,1500000
BASE/SANDY,Aqua New Jersey Incorporate,2119001-002,166,23,Lead Service Line Replacement Phillipsburg,6200000
BASE/SANDY,Aqua New Jersey Incorporate,0415002-001,109,,4,13400000
BASE/SANDY,Aqua New Jersey Incorporate,1103001-007,210,,14,13400000
BASE/SANDY,Aqua New Jersey Incorporate,0102001-012,56,2,Replacement & Improvements and Well,120000000
BASE/SANDY,Aqua New Jersey Incorporate,0102001-011,65,2,Lead Service Lines Replacement,5000000
BASE/SANDY,Aqua New Jersey Incorporate,0102001-007,102,2,Water Main Replacement Program,1620000
BASE/SANDY,Aqua New Jersey Incorporate,0102001-010,344,2,Consulting Services In Compliance With The,150000
BASE/SANDY,Bayonne City,0901001-005,140,,31,22800000
BASE/SANDY,Bayonne City,0901001-006,367,31,Aqueduct Replacement,12000000
BASE/SANDY,Belleville Township,0701001-007,645,29,Township of Belleville Asset Management Plan,220000
BASE/SANDY,Belleville Township,0701001-008,31,29,Belleville Lead Service Line Replacement,3568752
BASE/SANDY,Belleville Township,1505004-010,63,,9,12100000
BASE/SANDY,Belleville Township,1505323-001,128,,9,2100000
BASE/SANDY,Bethlehem Township BOE,1002311-001,54,,23,1050000
BASE/SANDY,Bloomfield Township,0702001-001,350,28,Cleaning and Lining of water mains,1700000
BASE/SANDY,Bloomfield Township,0702001-003,18,28,Lead Service Line Replacement,1098395
BASE/SANDY,Bloomfield Township,0702001-004,25,28,Interconnection Project,4000000
BASE/SANDY,Bloomfield Township,0702001-005,25,28,Lead Service Replacement Phases,8000000
BASE/SANDY,Boonton Town,1401001-003,327,25,Wellfield Treatment Plant Upgrades,3100000
BASE/SANDY,Bordentown City,0303001-001,634,7,Water Meter Replacement Program,3000000
BASE/SANDY,Borough of Wenonah,0819001-001,520,5,System Improvements - Water Tank,2000000
BASE/SANDY,Borough of Wenonah,1506001-015,156,,10,2500000
BASE/SANDY,Borough of Wenonah,1506001-016,543,,10,11200000
BASE/SANDY,Borough of Wenonah,1506001-008,259,,"10,30",6550000
BASE/SANDY,Borough of Wenonah,1506001-011,57,"10,30",Granular Activated Carbon Treatment Addition,20890000
BASE/SANDY,Borough of Wenonah,1506001-013,366,,"10,30",4188419
BASE/SANDY,Borough of Wenonah,1506001-014,123,"10,30","Alhama Drive, Cadiz Drive, Valencia Drive and",3600000
BASE/SANDY,Borough of Wenonah,1506001-017,543,"10,30",Replacement of Three Cohansey Wells,3500000
BASE/SANDY,Bridgeton City,0601001-006,86,3,Well 14/15 Rehabilitation,6810000
BASE/SANDY,Brigantine City,0103001-501,509,2,Installation of generators @ well,2900000
BASE/SANDY,River Property Owners,1904001-005,523,24,Tower Painting & Meter System,400000
BASE/SANDY,Burlington City,0305001-003,269,7,Broad Street Water Tank Rehabilitation,2200000
BASE/SANDY,Burlington City,0301001-001,39,9,Buttonwood system,318000
BASE/SANDY,Camden City,0408001-001,78,,5,55000000
BASE/SANDY,Camden City,0408001-022,120,,5,1400000
BASE/SANDY,Cape May City,0502001-002,79,1,Replacement of Existing Water Plant,39204000
BASE/SANDY,Clementon Borough,0411001-001,142,4,Rehab of Gibbsboro Water Main,500000
BASE/SANDY,Clementon Borough,0411001-002,359,,4,1400000
BASE/SANDY,Clinton Town,1005001-014,218,,23,4050000
BASE/SANDY,Clinton Town,1005001-015,218,,23,4050000
BASE/SANDY,Clinton Town,1005001-016,218,,23,4050000
BASE/SANDY,Clinton Town,1005001-017,218,,23,4050000
BASE/SANDY,Clinton Town,1005001-018,218,,23,4050000
BASE/SANDY,Clinton Town,1005001-006,432,,23,4300000
BASE/SANDY,Clinton Town,1005001-007,636,23,Replace Water Meters,4277804
BASE/SANDY,Clinton Town,1005001-010,218,,23,2640000
BASE/SANDY,Clinton Town,1005001-012,432,,23,3500000
BASE/SANDY,Clinton Town,1005001-013,507,,23,3000000
BASE/SANDY,Collingswood Borough,0412001-001,184,6,Collingswood Comly Ave Water Plant,8034312
BASE/SANDY,Collingswood Borough,0412001-006,162,6,Collingswood Lead Line Removal,5000000
BASE/SANDY,Collingswood Borough,0802001-002,373,5,Water Main Replacement at East Woodbury,1900000
BASE/SANDY,Collingswood Borough,0802001-003,373,,5,1500000
BASE/SANDY,Dover Town,1409001-001,131,25,Lead Service Lines,18000000
BASE/SANDY,Dover Town,1409001-003,131,25,Water Main Replacement,5080000
BASE/SANDY,Dover Town,1409001-004,131,25,Valve and Fire Hydrant Replacement,6350000
BASE/SANDY,Eagleswood Village MHP,1508001-001,38,9,Eagleswood Village Water Improvement,1035000
BASE/SANDY,East Greenwich,0803001-004,80,3,Installation of Filtration System at Well #3,6000000
BASE/SANDY,East Orange City,0705001-014,58,,34,33000000
BASE/SANDY,East Orange City,1101002-005,423,,14,2000000
BASE/SANDY,East Orange City,1101002-006,242,,14,29000000
BASE/SANDY,Essex Fells Borough,0706001-002,53,,27,1080000
BASE/SANDY,Essex Fells Borough,0706001-003,53,27,Permanent PFAS Treatment (Main Facility),5400000
BASE/SANDY,Essex Fells Borough,0706001-004,53,,27,2400000
BASE/SANDY,Fair Lawn Borough,0217001-001,317,38,Fair Lawn Water Treatment Facility,46000000
BASE/SANDY,Farmingdale Borough,1314001-002,454,,30,907000
BASE/SANDY,Flemington Borough,1009001-009,360,,16,4500000
BASE/SANDY,Freehold Borough,1315001-002,154,11,Water Plant Development,6440000
BASE/SANDY,Freehold Borough,1315001-003,486,11,Replacement of Well No. 3,2152400
BASE/SANDY,Glassboro Borough,0806001-001,375,,3 2.0 mg elevated tower repainting,3250000
BASE/SANDY,Glen Ridge Borough,0708001-010,444,28,Water Main Replacement - Carteret/Forest,1100000
BASE/SANDY,Glen Ridge Borough,0708001-009,222,,28,2000000
BASE/SANDY,Glen Ridge Borough,2108001-001,213,,23,4600000
BASE/SANDY,Glen Ridge Borough,2108001-002,103,23,Lead Service Line Replacement,1010000
BASE/SANDY,Glen Ridge Borough,0112001-004,243,2,Well #8 Rehabilitation,1400000
BASE/SANDY,Glen Ridge Borough,0112001-005,376,2,Water Main Replacement Phase 2,4500000
BASE/SANDY,Hampton Borough,1013001-002,226,,23,770000
BASE/SANDY,Hampton Borough,1911006-001,591,24,Water Meter Replacement,477400
BASE/SANDY,Harvey Cedars Borough,1509001-002,660,9,Installation of a Water Monitoring Well,1100000
BASE/SANDY,Hawthorne Borough,1604001-003,214,,38,2800000
