section,applicant,project_no,rank,leg_district,description,estimated_amount
SUPPLEMENTAL,Paterson City,S340850-03-1,N/A,,35,2550000
SUPPLEMENTAL,Rockaway Valley RSA,S340821-06-1,N/A,40,Old Jersey Trunk Sewer Replacement,775000
SUPPLEMENTAL,Somerville Borough,S342013-01-1,N/A,16,Green Seam Phase II Ground Water Treatment,1850000
RESIDUAL,Somerville Borough,S340640-18R,N/A,,5,10000000
RESIDUAL,Clinton Town,S340924-07R,N/A,,23,800000
RESIDUAL,Hoboken City,S340635-06R,N/A,,33,33000000
RESIDUAL,Hoboken City,S340928-15R,N/A,"31, 33",Phase 3 & 4 Sewer Improvements,3500000
RESIDUAL,Newark City,S340815-24R,N/A,,"28,29",21000000
RESIDUAL,North Bergen MUA,S340652-14R,N/A,32,Woodcliff Additional Improvements,8200000
RESIDUAL,Ocean Twp SA,S340750-14R,N/A,,11,1000000
RESIDUAL,Plumsted Township,S340607-03R,N/A,12,Advanced WW treatment & collection system,10000000
RESIDUAL,Rockaway Valley RSA,S340821-07R,N/A,,40,3000000
BASE/SANDY,Allentown Borough,S340567-05,175,12,Sewer Plant Modifications,5100000
BASE/SANDY,Asbury Park City,S340883-08,890,11,Sewer Plant,63000000
BASE/SANDY,Atlantic City,S340439-05,505,2,Stormwater Improvements,1100000
BASE/SANDY,Atlantic City,S340439-04,889,2,Water Meter and MTU Replacement,3066667
BASE/SANDY,Atlantic City,S340809-30,299,,"2,9",10100000
BASE/SANDY,Atlantic City,S342001-03,814,"1,2,8,9",MSE Berm Construction,36042396
BASE/SANDY,Bay Head Borough,S340590-03,493,10,Sewer collection system upgrade,3500000
BASE/SANDY,Bayonne City,S340399-31,51,,31,5000000
BASE/SANDY,Bayonne City,S340399-32,51,,31,1000000
BASE/SANDY,Bayonne City,S340697-07,67,13,Power Resiliency Project 5182,28000000
BASE/SANDY,Beach Haven Borough,S344220-01,133,,9,2038640
BASE/SANDY,Beach Haven Borough,S340386-19,139,,Infrastructure Protection Improvements,3240000
BASE/SANDY,Beach Haven Borough,S340386-20,139,,Primary Settling Tanks Improvements,9000000
BASE/SANDY,Beach Haven Borough,S340386-21,139,,Final Settling Tanks Improvements,7600000
BASE/SANDY,Beach Haven Borough,S340386-22,139,,Facility Assessment and Improvements,5690000
BASE/SANDY,Beach Haven Borough,S340386-23,139,,Sludge Digester Improvements,18700000
BASE/SANDY,Beach Haven Borough,S340386-24,139,,Tank Header Improvements,1950000
BASE/SANDY,Beach Haven Borough,S340386-13,,,191,70000000
BASE/SANDY,Beach Haven Borough,S340386-15,140,,Power Supply mitigation improvements,57000000
BASE/SANDY,Beach Haven Borough,S340386-16,140,,All Plant wide mitigation improvements,42000000
BASE/SANDY,Beach Haven Borough,S340386-18,140,,Pump Station Resiliency Project,2491339
BASE/SANDY,Beach Haven Borough,S340386-25,293,,Northern Valley Force Main Improvements,4000000
BASE/SANDY,Beach Haven Borough,S340386-26,190,,Cogeneration Engine Rehabilitation,3000000
BASE/SANDY,Berkeley Heights Township,S340385-05,19,21,STP Upgrade,2000000
BASE/SANDY,Berkeley Heights Township,S340385-06,736,21,West Side Drainage Project,25500000
BASE/SANDY,Berkeley Heights Township,S340385-07,510,21,Anaerobic Digester Flare Replacement Project,450000
BASE/SANDY,Berkeley Township,S344020-02,174,,9,905063
BASE/SANDY,Berkeley Township,S344020-01,174,9,Water Quality Retention Basin at Veterans Park,905063
BASE/SANDY,Berkeley Township,S340969-14,340,9,Bayview Ave. Force Main Replacement,3500000
BASE/SANDY,Bloomfield Township,S340516-01,922,13,Water Meter Replacement (FKA DW),7230970
BASE/SANDY,Bordentown City,S340219-04,944,7,Water Meter Replacement Program (FKA DW),3000000
BASE/SANDY,Borough of Wenonah,S340531-01,479,,5,1330000
BASE/SANDY,Borough of Wenonah,S340448-11,314,,10,5700000
BASE/SANDY,Borough of Wenonah,S340448-13,314,10,"Cartagena Drive, Alhama Drive, Cadiz Drive,",4600000
BASE/SANDY,Borough of Wenonah,S340448-14,927,10,Meter Replacement - Phase II,2000000
BASE/SANDY,Borough of Wenonah,S340448-12,314,,"10,30",4824000
BASE/SANDY,Brigantine City,S340827-04,419,2,Emergency Generators (SANDY),3300000
BASE/SANDY,Brigantine City,S340827-05,747,,2,4600000
BASE/SANDY,Brigantine City,S340827-06,747,2,Municipal System Improvements,1001066
BASE/SANDY,Brigantine City,S340518-06,457,2,Upgrades to Sanitary Municipal Authority,1500000
BASE/SANDY,Burlington City,S340140-02,915,,7,2600000
BASE/SANDY,Burlington Township,S340712-17,363,,6,1000000
BASE/SANDY,Camden City,S340366-07,29,,5,5500000
BASE/SANDY,Camden City,S340366-12,29,5,CSO - Cooper Street Pump Station,2300000
BASE/SANDY,Camden City,S340366-13,29,,5,12000000
BASE/SANDY,Camden City,S340366-14,29,,5,9370000
BASE/SANDY,Camden City,S340366-15,29,,5,13330000
BASE/SANDY,Camden City,S340366-16,885,,5,6100000
BASE/SANDY,Camden County MUA,S340640-34,296,,"4,5,6 & 8",15200000
BASE/SANDY,Camden County MUA,S340640-35,511,,"4,5,6 & 8",3500000
BASE/SANDY,Camden County MUA,S340640-36,230,"4,5,6 & 8",Service & Administration Buildings Rehab,15000000
BASE/SANDY,Camden County MUA,S340640-19,3,,5,11500000
BASE/SANDY,Camden County MUA,S340640-20,4,5,CSO - Camden City Green Infrastructure,3000000
BASE/SANDY,Camden County MUA,S345040-01,8,,5,1380000
BASE/SANDY,Camden County MUA,S340640-21,13,,5,32500000
BASE/SANDY,Camden County MUA,S340640-13,50,5,Delaware #1 Pump Upgrades,12800000
BASE/SANDY,Camden County MUA,S340640-30,296,5,CCMUA Pump Station Electrical Upgrades,7500000
BASE/SANDY,Camden County MUA,S340640-28,296,,6,7500000
BASE/SANDY,Camden County MUA,S340640-29,22,,"4,5,6 & 8",12700000
BASE/SANDY,Camden County MUA,S340640-26,605,"4,5,6 & 8",Newton Creek Dredging and Erosion Control,28200000
BASE/SANDY,Camden County MUA,S340640-25,3,5,"Camden City Green Infrastructure, Phase 5",14300000
BASE/SANDY,Camden County MUA,S340640-27,7,,5,4862636
BASE/SANDY,Camden County MUA,S340640-31,701,5,Newton Lake Bank Stabilization,4700000
BASE/SANDY,Camden County MUA,S340640-32,20,5,Camden - Pennsauken CSO Disconnect,24000000
BASE/SANDY,Camden County MUA,S340640-33,49,5,Bar Screen & Grit System Upgrades,15500000
BASE/SANDY,Camden County MUA,S340502-09,58,3,UV Disinfection & Filter System Improvements,1497445
BASE/SANDY,Camden County MUA,S340502-08,429,3,Lafayette Road Sanitary Sewer,1057203
BASE/SANDY,Carteret Borough,S340939-10,362,,19,6600000
BASE/SANDY,Chatham (MCJM) Borough,S340715-07A,216,21,Facility Improvements 2018,7289180
BASE/SANDY,Cliffside Park Borough,S340847-04,83,36,CSO - Combined Sewer Separation,5300000
BASE/SANDY,Clinton Town,S340924-08,153,,23,4100000
BASE/SANDY,Clinton Town,S340924-07,801,,23,800000
BASE/SANDY,Clinton Town,S340873-04,481,,23,1000000
BASE/SANDY,Collingswood Borough,S340291-04,286,,6,800000
BASE/SANDY,Cumberland County,S340438-03,679,1,Downe Township Fortescue Package Plant,17000000
BASE/SANDY,Cumberland County,S340438-01,679,1,Downe Wastewater Infrastructure,16000000
BASE/SANDY,Cumberland County,S342015-04,904,,"1,3",5919704
BASE/SANDY,Delanco Sewerage Authority,S340956-03,271,7,Collection System Improvement Project,1582000
BASE/SANDY,Delran Township,S340794-11,118,,7,2100000
BASE/SANDY,Delran Township,S340794-10,264,7,Clay Street Pump Station,2100000
BASE/SANDY,Delran Township,S340066-03,368,,5,1000000
BASE/SANDY,Delran Township,S340066-04,368,,5,700000
BASE/SANDY,Dunellen Borough,S340916-03,698,22,Flood Mitigation Project,2599998
BASE/SANDY,East Orange City,S340843-02,886,,34,6840000
BASE/SANDY,East Orange City,S340843-03,894,34,The Crossings at Brick Church,17100000
BASE/SANDY,East Orange City,S340753-06,337,2,FAA Pump Station Reconstruction,1250000
BASE/SANDY,Elizabeth City,S340942-13,48,20,CSO - Western Interceptor Modifications,13146000
BASE/SANDY,Elizabeth City,S340942-17,48,,20,6500000
BASE/SANDY,Elizabeth City,S340942-20,48,,20,10300000
BASE/SANDY,Elizabeth City,S345070-01,48,,20,4000001
BASE/SANDY,Elizabeth City,S340942-21,601,20,Lincoln Avenue Drainage Improvements Project,3000000
BASE/SANDY,Emerson Borough,S340497-01,435,39,Small System Asset Management Plan,100000
BASE/SANDY,Emerson Borough,S340497-02,435,39,Cindy Lane Pump Station Improvement,450000
BASE/SANDY,Emerson Borough,S340838-09,181,8,Elmwood WWTP Resiliency Improvements,500000
BASE/SANDY,Emerson Borough,S340838-10,181,8,Elmwood Tertiary Filter Rehabilitation,1500000
BASE/SANDY,Emerson Borough,S340838-08,336,8,Route 70 Sewer Rehabilitation,1000000
BASE/SANDY,Emerson Borough,S340838-06,716,8,Elmwood WWTP Storage Building,2500000
BASE/SANDY,Fieldsboro Borough,S340522-01,495,7,Sewer @ Stormwater Asset Management Plan,150000
BASE/SANDY,Flemington Borough,S340440-05,620,16,Hopewell Ave Sanitary Sewer Extension,700000
BASE/SANDY,Flemington Borough,S340839-08,324,17,Hamilton St. Pumping Station,4200000
BASE/SANDY,Flemington Borough,S340839-09,324,17,Marcy Street Sanitary Sewer Rehab,7500000
BASE/SANDY,Flemington Borough,S340839-10,324,17,Somerset Street Drainage Area Rehab,5400000
BASE/SANDY,Glen Ridge Borough,S340861-03,433,28,Sewer Cleaning Truck,445849
BASE/SANDY,Gloucester City,S345090-01,143,,5,1000000
BASE/SANDY,Gloucester City,S340958-09,135,5,Flood & Sewage Backup Mitigation,2200000
BASE/SANDY,Gloucester City,S340902-15,161,"3,4,5 & 23",Combined Heat & Power,11500000
BASE/SANDY,Gloucester City,S340902-17,501,"3,4,5 & 23",Sludge Drying System,10000000
BASE/SANDY,Gloucester Township,S340364-17,713,,4,1290198
BASE/SANDY,Gloucester Township,S340364-11,712,4,Flood Mitigation (SANDY),950000
BASE/SANDY,Gloucester Township,S340364-15,712,,4,1450000
BASE/SANDY,Gloucester Township,S340364-16,712,,4,600000
BASE/SANDY,Gloucester Township,S340364-18,713,,4,1500000
BASE/SANDY,Greenwich Township,S340359-02,623,,23,2200000
BASE/SANDY,Guttenberg Town,S340854-03,56,32,Guttenberg CSO,3500000
BASE/SANDY,Guttenberg Town,S340854-04,56,32,CSO Improvements,300000
BASE/SANDY,Hackensack City,S340923-22,338,,37,1300000
BASE/SANDY,Hackensack City,S340923-16,106,,37,5000000
BASE/SANDY,Hackensack City,S340923-17,106,37,Green Street (Brosses Creek) Sewer Separation,7500000
BASE/SANDY,Hackensack City,S340923-18,106,,37,7900000
BASE/SANDY,Hackensack City,S340923-19,106,37,Atlantic Street Infrastructure Improvements,5150000
BASE/SANDY,Hackensack City,S340923-13,106,,37,15200000
BASE/SANDY,Hackensack City,S340923-14,106,,37,8000000
