section,applicant,project_no,rank,leg_district,description,estimated_amount
BASE/SANDY,Allentown Borough,1302001-002,414,12,Elevated Water Tank Improvements,549100
BASE/SANDY,Allentown Borough,1302001-001,608,12,Asset Management Plan,100000
BASE/SANDY,Allentown Borough,1302001-004,227,12,Water Treatment Plant Improvements,2328960
BASE/SANDY,Allentown Borough,1302001-005,62,12,Lead Service Line replacement,3000000
BASE/SANDY,Allentown Borough,0102001-007,95,2,Water Main Replacement Program,1620000
BASE/SANDY,Allentown Borough,0102001-010,313,2,Consulting Services In Compliance With The,150000
BASE/SANDY,Bayonne City,0901001-005,128,,31,22800000
BASE/SANDY,Bayonne City,0901001-006,336,31,Aqueduct Replacement,12000000
BASE/SANDY,Belleville Township,0701001-007,603,29,Township of Belleville Asset Management Plan,220000
BASE/SANDY,Belleville Township,0701001-008,31,29,Belleville Lead Service Line Replacement,3568752
BASE/SANDY,Belleville Township,1505004-010,59,,9,12100000
BASE/SANDY,Belleville Township,1505323-001,117,,9,2100000
BASE/SANDY,Bloomfield Township,0702001-001,319,28,Cleaning and Lining of water mains,1700000
BASE/SANDY,Bloomfield Township,0702001-003,18,28,Lead Service Line Replacement,1098395
BASE/SANDY,Bloomfield Township,0702001-004,25,28,Interconnection Project,4000000
BASE/SANDY,Bloomfield Township,0702001-005,25,28,Lead Service Replacement Phases,8000000
BASE/SANDY,Boonton Town,1401001-003,296,25,Wellfield Treatment Plant Upgrades,3100000
BASE/SANDY,Bordentown City,0303001-001,592,7,Water Meter Replacement Program,3000000
BASE/SANDY,Borough of Wenonah,0819001-001,482,5,System Improvements - Water Tank,2000000
BASE/SANDY,Borough of Wenonah,1506001-008,234,,"10,30",6550000
BASE/SANDY,Borough of Wenonah,1506001-009,315,,"10,30",5928760
BASE/SANDY,Borough of Wenonah,1506001-011,53,"10,30",Granular Activated Carbon Treatment Addition,20890000
BASE/SANDY,Borough of Wenonah,1506001-013,335,,"10,30",4188419
BASE/SANDY,Borough of Wenonah,1506001-014,113,"10,30","Alhama Drive, Cadiz Drive, Valencia Drive and",3600000
BASE/SANDY,Bridgeton City,0601001-006,80,3,Well 14/15 Rehabilitation,6810000
BASE/SANDY,Brielle Borough,1308001-004,477,30,Brielle Drinking Water Storage Tank Project,2460000
BASE/SANDY,Brielle Borough,1308001-005,512,30,Old Bridge Road Elevated Water Storage Tank,4500000
BASE/SANDY,Brigantine City,0103001-501,473,2,Installation of generators @ well,2900000
BASE/SANDY,Brigantine City,0301001-001,39,9,Buttonwood system,318000
BASE/SANDY,Camden City,0408001-022,111,,5,1400000
BASE/SANDY,Cape May City,0502001-002,73,1,Replacement of Existing Water Plant,39204000
BASE/SANDY,Clementon Borough,0411001-001,130,4,Rehab of Gibbsboro Water Main,500000
BASE/SANDY,Clementon Borough,0411001-002,328,,4,1400000
BASE/SANDY,Clinton Town,1005001-014,196,,23,4050000
BASE/SANDY,Clinton Town,1005001-015,196,,23,4050000
BASE/SANDY,Clinton Town,1005001-016,196,,23,4050000
BASE/SANDY,Clinton Town,1005001-017,196,,23,4050000
BASE/SANDY,Clinton Town,1005001-018,196,,23,4050000
BASE/SANDY,Clinton Town,1005001-006,399,,23,4300000
BASE/SANDY,Clinton Town,1005001-007,594,23,Replace Water Meters,4277804
