section,applicant,project_no,rank,leg_district,description,estimated_amount
RESIDUAL,Rutgers University,S340500-01R,N/A,11,Busch Cogeneration Plant Upgrade,4200000
RESIDUAL,Ship Bottom Borough,S340311-04R,N/A,9,Residential Water Meter Project,1000000
BASE/SANDY,Allamuchy Township,S340256-03,224,24,Sand Filter Replacement Project,3000000
BASE/SANDY,Asbury Park City,S340883-08,1091,11,Sewer Plant,63000000
BASE/SANDY,Asbury Park City,S340883-09,171,11,Asbury Park Sewer,36000000
BASE/SANDY,Atlantic City,S340439-05,685,2,Stormwater Improvements,1100000
BASE/SANDY,Atlantic City,S340439-06,686,2,Fisherman's Park Pump Station Improvements,2500000
BASE/SANDY,Atlantic City,S340439-07,692,2,Stormwater Equipment,2100000
BASE/SANDY,Atlantic City Municipal Utilities Authority,S340439-04,1102,2,Water Meter and MTU Replacement,3066667
BASE/SANDY,Atlantic County Utilities Authority,S340809-31,704,"2,9",ACUA Solids Handling Phase I Improvements,40800000
BASE/SANDY,Atlantic County Utilities Authority,S340809-32,344,"2,9",Pleasantville Pump Station Upgrades,5100000
BASE/SANDY,Atlantic County Utilities Authority,S340809-33,712,"2,9",ACUA Microplastic Collection System Phase 2 Improvement,1400000
BASE/SANDY,Atlantic County Utilities Authority,S342809-33,1021,"2,9",ACUA Landfill Final Cap - Phase 2,9000000
BASE/SANDY,Bay Head Borough,S340590-03,669,10,Sewer collection system upgrade,3500000
BASE/SANDY,Bayonne City,S340399-32,60,31,CSO - Avenue F & 24th Street Sewer and Manhole Rehabilitation,1000000
BASE/SANDY,Bayonne City,S340399-33,138,31,Cottage Street Park Flood Mitigation Project,5800000
BASE/SANDY,Bayonne City,S340399-34,138,,31 63rd Street Pumping Station Power and Flood Resilience Project,3100000
BASE/SANDY,Bayshore Regional Sewer Authority,S340697-07,79,13,Power Resiliency Project 5182,31500000
BASE/SANDY,Bayshore Regional Sewer Authority,S340697-08,708,13,Dorr Oliver Incinerator Rehabilitation & Upgrades,21000000
BASE/SANDY,Bayshore Regional Sewer Authority,S340697-09,89,13,Final Clarifiers #1-4 Rehabilitation,5129800
BASE/SANDY,Bayshore Regional Sewer Authority,S340697-10,90,13,Plant Headworks Rehabilitation & Upgrades,7400000
BASE/SANDY,Beach Haven Borough,S344220-01,168,9,Barnegat Bay - Stormwater Pump replacement and drainage,3600000
BASE/SANDY,Bergen County Utilities Authority,S340386-13,282,,Consolidation of Edgewater/ Little Ferry service area,85000000
BASE/SANDY,Bergen County Utilities Authority,S340386-15,193,,CSO - Power Supply mitigation improvements - Planning & Design,3378094
BASE/SANDY,Bergen County Utilities Authority,S340386-15a,193,,CSO - Power Supply mitigation improvements - Construction,94200000
BASE/SANDY,Bergen County Utilities Authority,S340386-16,193,,CSO - All Plant wide mitigation improvements - Planning & Design,4222980
BASE/SANDY,Bergen County Utilities Authority,S340386-16a,193,,CSO - All Plant wide mitigation improvements - Construction,110000000
BASE/SANDY,Bergen County Utilities Authority,S340386-19,191,,CSO - Infrastructure Protection Improvements,3240000
BASE/SANDY,Bergen County Utilities Authority,S340386-20,191,,CSO - Primary Settling Tanks Improvements,35000000
BASE/SANDY,Bergen County Utilities Authority,S340386-22,191,,CSO - Facility Assessment and Improvements,5690000
BASE/SANDY,Bergen County Utilities Authority,S340386-23,191,,CSO - Sludge Digester Improvements,60000000
BASE/SANDY,Bergen County Utilities Authority,S340386-26,278,,Cogeneration Engine Rehabilitation,6000000
BASE/SANDY,Bergen County Utilities Authority,S340386-27,431,,Harrington Park Main PS Wet Well and Valve Improvements,7000000
BASE/SANDY,Bergen County Utilities Authority,S340386-28,277,,Emergency Harrington Park Main project,63000000
BASE/SANDY,Bergen County Utilities Authority,S340386-29,278,,Cogen Engine #3 SCR,4130000
BASE/SANDY,Bergen County Utilities Authority,S340386-30,350,,Route 4 Westbound Interceptor - Lining Project,4450000
BASE/SANDY,Bergen County Utilities Authority,S340386-31,339,,Aeration Tank Improvements: Batteries A – D,28550000
BASE/SANDY,Berkeley Heights Township,S340385-05,21,21,STP Upgrade,7500000
BASE/SANDY,Berkeley Heights Township,S340385-06,939,21,W est Side Drainage Project,25500000
BASE/SANDY,Berkeley Heights Township,S340385-07,694,21,Anaerobic Digester Flare Replacement Project,450000
BASE/SANDY,Berkeley Heights Township,S340385-08,556,21,VAC Truck Replacement,700000
BASE/SANDY,Berkeley Township,S344020-01,254,9,Water Quality Retention Basin at Veterans Park,905063
BASE/SANDY,Berkeley Township,S344020-02,254,9,Barnegat Bay - Water Quality Retention Basin at Moorage Park,905063
