section,applicant,project_no,rank,leg_district,description,estimated_amount
BASE/SANDY,Allamuchy Township,2101001-001,637,24,Water Storage Tank Replacement,1500000
BASE/SANDY,Allentown Borough,1302001-001,753,12,Asset Management Plan,100000
BASE/SANDY,Allentown Borough,1302001-002,557,12,Elevated Water Tank Improvements,549100
BASE/SANDY,Allentown Borough,1302001-004,364,12,Water Treatment Plant Improvements,2328960
BASE/SANDY,Allentown Borough,1302001-005,138,12,Lead Service Line replacement,3000000
BASE/SANDY,Allentown Borough,1302001-006,158,12,"Improvements to Broad Street, Waker Avenue and Maiden Lane",1260000
BASE/SANDY,Allentown Borough,1302001-007,158,12,Water Treatment Plant Improvements Phase II,3250000
BASE/SANDY,Aqua New Jersey Incorporate,0415002-001,62,4,Aqua New Jersey Blackwood Lead Service Line Replacement,45000000
BASE/SANDY,Aqua New Jersey Incorporate,1103001-004,240,"12, 14 & 15",AQUA Hamilton PFAS Treatment,21000000
BASE/SANDY,Aqua New Jersey Incorporate,1103001-008,132,14,AQUA-NJ: Hamilton System - PFAS Treatment - Well 11C,4700000
BASE/SANDY,Aqua New Jersey Incorporate,1103001-009,132,14,AQUA-NJ: Hamilton System - PFAS Treatment - Well 12C,4700000
BASE/SANDY,Aqua New Jersey Incorporate,1103001-010,132,14,AQUA-NJ: Hamilton System - PFAS Treatment - Well 13C,4700000
BASE/SANDY,Aqua New Jersey Incorporate,1911004-001,89,24,Summit Lake PFAS,3000000
BASE/SANDY,Aqua New Jersey Incorporate,2119001-002,185,23,Lead Service Line Replacement Phillipsburg,45000000
BASE/SANDY,Atlantic City Municipal Utilities Authority,0102001-007,104,2,Water Main Replacement Program,1620000
BASE/SANDY,Atlantic City Municipal Utilities Authority,0102001-011,18,2,Lead Service Lines Replacement,48000000
BASE/SANDY,Atlantic City Municipal Utilities Authority,0102001-012,26,,2,120000000
BASE/SANDY,Atlantic City Municipal Utilities Authority,0102001-013,131,,2,5200000
BASE/SANDY,Bayonne City,0901001-005,202,31,City of Bayonne Lead Service Line Replacement Project,24000000
BASE/SANDY,Bayonne City,0901001-007,260,31,Aqueduct Replacement Project,32000000
BASE/SANDY,Bayonne City,0901001-008,178,31,Lead Service Line Replacement Phase 2,74650000
