section,applicant,project_no,rank,leg_district,description,estimated_amount
SUPPLEMENTAL,Somerville Borough,S342013-01-1,N/A,16,Green Seam Phase II Ground Water Treatment,1850000
RESIDUAL,Rutgers University,S340500-01R,N/A,11,Busch Cogeneration Plant Upgrade,4200000
BASE/SANDY,Allamuchy Township,S340256-03,216,24,Sand Filter Replacement Project,3000000
BASE/SANDY,Asbury Park City,S340883-08,1059,11,Sewer Plant,63000000
BASE/SANDY,Asbury Park City,S340883-09,169,11,Asbury Park Sewer,36000000
BASE/SANDY,Atlantic City,S340439-05,658,2,Stormwater Improvements,1100000
BASE/SANDY,Atlantic City,S340439-06,659,2,Fisherman's Park Pump Station Improvements,2500000
BASE/SANDY,Atlantic City,S340439-07,665,2,Stormwater Equipment,2100000
BASE/SANDY,Atlantic City Municipal Utilities Authority,S340439-04,1069,2,Water Meter and MTU Replacement,3066667
BASE/SANDY,Atlantic County Utilities Authority,S340809-31,677,"2,9",ACUA Solids Handling Phase I Improvements,20000000
BASE/SANDY,Atlantic County Utilities Authority,S340809-32,328,"2,9",Pleasantville Pump Station Upgrades,5100000
BASE/SANDY,Atlantic County Utilities Authority,S342809-33,990,"2,9",ACUA Landfill Final Cap - Phase 2,9000000
BASE/SANDY,Bay Head Borough,S340590-03,642,10,Sewer collection system upgrade,3500000
BASE/SANDY,Bayonne City,S340399-32,60,31,CSO - Avenue F & 24th Street Sewer and Manhole Rehabilitation,1000000
BASE/SANDY,Bayonne City,S340399-33,136,31,Cottage Street Park Flood Mitigation Project,5800000
BASE/SANDY,Bayonne City,S340399-34,136,,31 63rd Street Pumping Station Power and Flood Resilience Project,3100000
BASE/SANDY,Bayshore Regional Sewer Authority,S340697-07,79,13,Power Resiliency Project 5182,31500000
BASE/SANDY,Bayshore Regional Sewer Authority,S340697-08,681,13,Dorr Oliver Incinerator Rehabilitation & Upgrades,21000000
BASE/SANDY,Bayshore Regional Sewer Authority,S340697-09,89,13,Final Clarifiers #1-4 Rehabilitation,5129800
BASE/SANDY,Beach Haven Borough,S344220-01,166,9,Barnegat Bay - Stormwater Pump replacement and drainage,3600000
BASE/SANDY,Bergen County Utilities Authority,S340386-13,270,,Consolidation of Edgewater/ Little Ferry service area,85000000
BASE/SANDY,Bergen County Utilities Authority,S340386-15,185,,CSO - Power Supply mitigation improvements - Planning & Design,3378094
BASE/SANDY,Bergen County Utilities Authority,S340386-15a,185,,CSO - Power Supply mitigation improvements - Construction,94200000
BASE/SANDY,Bergen County Utilities Authority,S340386-16,185,,CSO - All Plant wide mitigation improvements - Planning & Design,4222980
BASE/SANDY,Bergen County Utilities Authority,S340386-16a,185,,CSO - All Plant wide mitigation improvements - Construction,110000000
BASE/SANDY,Bergen County Utilities Authority,S340386-19,183,,CSO - Infrastructure Protection Improvements,3240000
BASE/SANDY,Bergen County Utilities Authority,S340386-20,183,,CSO - Primary Settling Tanks Improvements,30000000
