section,applicant,project_no,rank,leg_district,description,estimated_amount
BASE/SANDY,Allamuchy Township,2101001-001,623,24,Water Storage Tank Replacement,1500000
BASE/SANDY,Allentown Borough,1302001-001,738,12,Asset Management Plan,100000
BASE/SANDY,Allentown Borough,1302001-002,545,12,Elevated Water Tank Improvements,549100
BASE/SANDY,Allentown Borough,1302001-004,355,12,Water Treatment Plant Improvements,2328960
BASE/SANDY,Allentown Borough,1302001-005,133,12,Lead Service Line replacement,3000000
BASE/SANDY,Allentown Borough,1302001-006,153,12,"Improvements to Broad Street, Waker Avenue and Maiden Lane",1260000
BASE/SANDY,Allentown Borough,1302001-007,153,12,Water Treatment Plant Improvements Phase II,2900000
BASE/SANDY,Aqua New Jersey Incorporate,0415002-001,59,4,Aqua New Jersey Blackwood Lead Service Line Replacement,45000000
BASE/SANDY,Aqua New Jersey Incorporate,1103001-004,234,"12, 14 & 15",AQUA Hamilton PFAS Treatment,21000000
BASE/SANDY,Aqua New Jersey Incorporate,1103001-007,176,14,Aqua NJ Hamilton Lead Service Line Replacement,13400000
BASE/SANDY,Aqua New Jersey Incorporate,1103001-008,127,14,AQUA-NJ: Hamilton System - PFAS Treatment - Well 11C,4700000
BASE/SANDY,Aqua New Jersey Incorporate,1103001-009,127,14,AQUA-NJ: Hamilton System - PFAS Treatment - Well 12C,4700000
BASE/SANDY,Aqua New Jersey Incorporate,1103001-010,127,14,AQUA-NJ: Hamilton System - PFAS Treatment - Well 13C,4700000
BASE/SANDY,Aqua New Jersey Incorporate,1107002-001,192,15,Lead Service Line Replacements Lawrenceville,1500000
BASE/SANDY,Aqua New Jersey Incorporate,1911004-001,86,24,Summit Lake PFAS,3000000
BASE/SANDY,Aqua New Jersey Incorporate,2119001-002,179,23,Lead Service Line Replacement Phillipsburg,45000000
BASE/SANDY,Atlantic City Municipal Utilities Authority,0102001-007,100,2,Water Main Replacement Program,1620000
BASE/SANDY,Atlantic City Municipal Utilities Authority,0102001-010,582,,2,150000
BASE/SANDY,Atlantic City Municipal Utilities Authority,0102001-011,17,2,Lead Service Lines Replacement,48000000
BASE/SANDY,Atlantic City Municipal Utilities Authority,0102001-012,24,,2,120000000
BASE/SANDY,Atlantic City Municipal Utilities Authority,0102001-013,126,,2,5200000
BASE/SANDY,Bayonne City,0901001-005,196,31,City of Bayonne Lead Service Line Replacement Project,24000000
BASE/SANDY,Bayonne City,0901001-007,253,31,Aqueduct Replacement Project,32000000
BASE/SANDY,Beachwood Borough,1504001-001,244,9,Beachwood Water Department New Water Treatment Facility,7819000
BASE/SANDY,Belleville Township,0701001-007,795,29,Township of Belleville Asset Management Plan,220000
BASE/SANDY,Belleville Township,0701001-008,67,29,Belleville Lead Service Line Replacement,3568752
BASE/SANDY,Belleville Township,0701001-009,177,29,Belleville Lead Service Line Replacement,4827830
