source_file,rank,applicant_raw,description,municipality
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,4,Atlantic City,Flood Risk Reduction,ATLANTIC
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,10,Atlantic City,Project Scoping - Ducktown/Chelsea Flood Mitigation Plan,ATLANTIC
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,11,Atlantic City,Project Scoping - Venice Park Flood Mitigation Plan,ATLANTIC
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,22,Atlantic County,Lake Lenape Dam Reconstruction,ATLANTIC COUNTY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,42,Atlantic Highlands,Bulkhead Improvements,ATLANTIC HIGHLANDS
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,76,Atlantic Highlands Borough,Upper Prospect Road Landslide Stabilization,ATLANTIC HIGHLANDS
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,33,Bay Head Borough,Flood Mitigation,BAY HEAD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,68,Bay Head Borough,Project Scoping - Flood and Environmental Damage Mitigation,BAY HEAD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,40,Bergen County Utilities Authority,Flood Mitigation of Joint Meeting Pump Station,BERGEN COUNTY UTILITIES AUTHORITY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,24,Bergen County Utilities Authority,Flood Mitigation of Pink Street Pump Station,BERGEN COUNTY UTILITIES AUTHORITY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,61,Bergenfield Borough,Project Scoping - Flood Mitigation,BERGENFIELD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,39,Berkeley Township,Elevation of Three Structures (Application 1),BERKELEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,36,Berkeley Township,Elevation of Three Structures (Application 4),BERKELEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,53,Berkeley Township,Elevation of Two Structures (Application 2),BERKELEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,43,Berkeley Township,Elevation of Two Structures (Application 3),BERKELEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,44,Berkeley Township,Flood Mitigation Assistance (Application 2),BERKELEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,54,Berkeley Township,Flood Mitigation Assistance (Application 3),BERKELEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,60,Brick Township,Brick Roadway Elevation,BRICK
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,17,Brigantine City,Back Bay Community Flood Mitigation,BRIGANTINE
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,13,Cape May City,Seawall Flood Mitigation,CAPE MAY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,20,Carteret Borough,Community Health Center Elevation,CARTERET
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,56,Ewing-Lawrence Sewerage Authority,Flood Mitigation of Fackler Road and Lower Ferry Pump Station,EWING-LAWRENCE SEWERAGE AUTHORITY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,49,Freehold Township,Water Treatment Plant Generator,FREEHOLD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,59,Highlands Borough,Highlands and Monmouth Hills Flood Mitigation and Green Infrastructure,HIGHLANDS
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,50,Hoboken City,North West Hoboken Resilient Infrastructure,HOBOKEN
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,21,Hoboken City,Southwest Park Expansion,HOBOKEN
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,1,Jersey City,McGovern Park Resilience Project [Drainage Improvements / Green Infrastructure],JERSEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,47,Kearny Township,Project Scoping - Garfield and John Hay Pump Stations,KEARNY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,23,Keyport Borough,Fireman's Park Flood Mitigation Initiative,KEYPORT
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,14,Longport Borough,Phase 2 Community Flood Mitigation - Winchester Avenue Resiliency,LONGPORT
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,19,Longport Borough,South Jersey Home Elevations,LONGPORT
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,8,Manville Borough,Acquisition of 100 Residential Structures (Substantially Damaged),MANVILLE
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,25,Margate City,Adams Avenue Community Flood Mitigation Project (Pump Station),MARGATE
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,3,Margate City,Regional Home Elevation,MARGATE
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,64,Marlboro Township,Nolan Road Streambank Stabilization,MARLBORO
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,65,Middlesex County,Southern Middlesex Flood Mitigation Plan,MIDDLESEX COUNTY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,41,Millburn Township,Elevations,MILLBURN
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,26,Millstone Borough,Elevation of One Flood-Prone Structure,MILLSTONE
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,29,Neptune Township,Shark River Living Shoreline,NEPTUNE
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,57,Neptune Township,South Riverside Flood Pumps,NEPTUNE
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,75,New Jersey Water Supply Authority,Spruce Run Resevoir Dam,NEW JERSEY WATER SUPPLY AUTHORITY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,32,New Milford Borough,Elevations,NEW MILFORD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,2,Newark City,Ironbound Resilience Hub,NEWARK
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,70,North Caldwell Borough,Harden Water Tower,NORTH CALDWELL
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,31,North Wildwood City,Bayside Community Flood Mitigation,NORTH WILDWOOD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,38,North Wildwood City,Seawall,NORTH WILDWOOD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,46,Northfield City,Madison Avenue Stormwater Management,NORTHFIELD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,73,Northfield City,Public Works Generator,NORTHFIELD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,74,Northfield City,Revere Avenue Stormwater Management,NORTHFIELD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,9,Ocean City,"Elevation of 18 Residential Structures in Ocean City, Sea Isle City, Stone Harbor, Upper Township, and West Wildwood",OCEAN
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,12,Passaic City,McDonald Brook Channel Flood Control,PASSAIC
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,18,Pequannock Township,Elevations,PEQUANNOCK
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,5,Port Authority of New York & New Jersey,EWR Terminal B Drainage,PORT AUTHORITY OF NEW YORK & NEW JERSEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,6,Port Authority of New York & New Jersey,Floodproofing of Building 111 Infrastructure Mitigation,PORT AUTHORITY OF NEW YORK & NEW JERSEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,80,Port Authority of New York & New Jersey,"Project Scoping - Climate Risk Assessment for the ""AIR"" Bundle (Newark Airport)",PORT AUTHORITY OF NEW YORK & NEW JERSEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,66,Port Authority of New York & New Jersey,"Project Scoping - Climate Risk Assessment for the ""RAIL"" Bundle (Newark Airport)",PORT AUTHORITY OF NEW YORK & NEW JERSEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,48,Port Authority of New York & New Jersey,Project Scoping - Marine Terminals CRA,PORT AUTHORITY OF NEW YORK & NEW JERSEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,51,Rochelle Park Township,Elevations,ROCHELLE PARK
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,52,Rochelle Park Township,Reconstruction of Sanitary Sewer Pump Station,ROCHELLE PARK
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,69,Seaside Heights Borough,Project Scoping - Flood Mitigation,SEASIDE HEIGHTS
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,15,Secaucus Township,Huber Street Flood Wall,SECAUCUS
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,62,Somers Point City,Project Scoping - Bayfront,SOMERS POINT
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,63,Somers Point City,Project Scoping - Gulph Mills Pump Station,SOMERS POINT
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,7,Somerset County,Acquisition/Demolition - Batch 1 (7 Properties),SOMERSET COUNTY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,34,Stafford Township,Bulkhead Flood Risk Reduction,STAFFORD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,37,Stafford Township,Elevations,STAFFORD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,55,Stafford Township,Neptune Basin Expansion,STAFFORD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,58,Stafford Township,Township of Stafford and OCUA - Erosion Control,STAFFORD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,78,Stone Harbor Borough,Project Scoping - 81st Street Area Flood Mitigation,STONE HARBOR
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,79,Stone Harbor Borough,Project Scoping - 93rd Street Area Flood Mitigation,STONE HARBOR
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,67,Two Rivers Water Reclamation Authority,Project Scoping - EPS and Outfall Replacement,TWO RIVERS WATER RECLAMATION AUTHORITY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,16,Ventnor City,Lower Ventnor Heights Community Flood Mitigation,VENTNOR
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,28,West Wildwood Borough,Flood Risk Reduction - Living Shoreline,WEST WILDWOOD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,35,West Wildwood Borough,Project Scoping - Flood Mitigation,WEST WILDWOOD
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,27,Woodbridge Township,Stafford Road Sanitary Sewer Upgrades,WOODBRIDGE
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,1,Jersey City,McGovern Park Resilience Project [Drainage Improvements / Green Infrastructure],JERSEY
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,2,Newark City,Ironbound Resilience Hub,NEWARK
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,3,Margate City,Regional Home Elevation,MARGATE
i45_1_SFY25 CHAMP 2nd Amended PPL.pdf,4,Atlantic City,Flood Risk Reduction,ATLANTIC
