municipality,ufb_year,net_debt,assessed_value,debt_to_assessed_value
ABSECON,2022,14075750.0,744539757.67,0.01890530338372978
ATLANTIC,2022,316904000.0,2847819043.67,0.1112795423938187
BRIGANTINE,2022,33962594.870000005,3549726068.0,0.009567666411266303
BUENA,2022,12443239.84,273818817.0,0.0454433335748434
BUENA VISTA,2022,7072253.97,626003035.67,0.01129747551851836
CORBIN CITY,2022,0.0,51752966.33,0.0
EGG HARBOR CITY,2022,1764250.0,218603479.0,0.00807054859360221
EGG HARBOR,2022,27108717.0,4481027408.0,0.0060496655190286665
FOLSOM,2022,601836.36,179659839.33,0.003349865847840063
GALLOWAY,2022,8007905.67,2993635885.33,0.002674976509081116
HAMMONTON,2022,13572345.01,1484723788.33,0.009141326566381761
LINWOOD,2022,11939795.76,937852911.67,0.012730989701507935
LONGPORT,2022,8000015.27,2026258426.67,0.00394817125234485
MARGATE CITY,2022,38981197.55,4450383741.67,0.008759064344274356
MULLICA,2022,1414000.0,496756741.67,0.002846463633782615
NORTHFIELD,2022,10203250.0,888768072.0,0.011480216629564074
PLEASANTVILLE,2022,10960831.0,760201876.0,0.014418316168427871
PORT REPUBLIC,2022,0.0,137176000.0,0.0
SOMERS POINT,2022,16548136.56,1189025064.67,0.013917399264070806
VENTNOR CITY,2022,27630241.28,2168363063.67,0.012742442325703167
WEYMOUTH,2022,637725.0,185766808.0,0.003432932970458318
ALLENDALE,2022,11832399.0,1830684599.0,0.006463373869241798
ALPINE,2022,2566743.0,1933894171.0,0.0013272406724680076
BERGENFIELD,2022,33710998.0,3317113405.0,0.010162751128492093
BOGOTA,2022,17525135.0,895502563.33,0.01957016732015969
CARLSTADT,2022,26085000.0,2514407705.67,0.010374212559553574
CLIFFSIDE PARK,2022,26872285.0,3606000165.0,0.007452103097726841
CLOSTER,2022,18022634.0,2310356864.0,0.0078008009415466645
CRESSKILL,2022,18271000.0,2339378506.0,0.00781019401227242
DEMAREST,2022,18598976.0,1651688378.67,0.011260584163567572
DUMONT,2022,43612044.0,2235377888.0,0.019509920105284677
ELMWOOD PARK,2022,22227004.44,2386867341.33,0.009312207702173664
EAST RUTHERFORD,2022,28892115.720000006,2553231556.0,0.011315901079204743
EDGEWATER,2022,45103180.379999995,3763155955.0,0.011985466698522728
ENGLEWOOD,2022,89632932.0,5266012520.67,0.017021025234591716
ENGLEWOOD CLIFFS,2022,14844579.0,3570088918.67,0.004158041813011816
FAIR LAWN,2022,37543019.98,5409089084.0,0.0069407287247406696
FAIRVIEW,2022,25248768.03,1467490215.33,0.017205408094882742
FORT LEE,2022,60910988.56000001,7430840889.67,0.008197051917054981
FRANKLIN LAKES,2022,9842098.0,4425323473.0,0.0022240403577386126
GARFIELD,2022,41219386.0,2770973095.0,0.014875419062847306
GLEN ROCK,2022,0.0,3731349162.0,0.0
HACKENSACK,2022,101742762.15,6035984687.33,0.01685603384043799
HASBROUCK HEIGHTS,2022,11205735.17,1964314727.0,0.00570465364637059
HAWORTH,2022,7151971.0,950492425.0,0.00752449026619018
HILLSDALE,2022,3063720.27,1898143080.67,0.001614061817151623
HO-HO-KUS,2022,9242000.0,1341204872.67,0.006890818985470514
LEONIA,2022,18820819.0,1492193887.67,0.01261285088721811
LITTLE FERRY,2022,13705896.0,1251483107.0,0.01095172273867537
LODI,2022,20153369.69,2683868363.33,0.007509075320294316
LYNDHURST,2022,88825178.05000003,3493048489.67,0.025429128256502283
MAHWAH,2022,34854013.08,6427762908.0,0.005422417344706454
MAYWOOD,2022,15842737.37,1524171555.33,0.01039432688177275
MIDLAND PARK,2022,4032366.24,1302902540.0,0.003094910107397596
