Unnamed: 0,Unnamed: 1,Unnamed: 2
Glossary,,
Category,Term,Description
Status,No UFB Available,The Division of Local Government Services does not have a User Friendly Budget on file for this municipality
,Sig. Data Missing,"Municipality submitted a User Friendly Budget, however at least one entire section was left blank"
Population and Density,Population Estimate (Census),Population estimate from the US Census Bureau's Population Estimates Program.
,Land Area (sq. mi),Land areas as of the Decennial Census
,Population Density,"Persons per square mile, population divided by land area"
Tax Collections,% of Tax Collections used to Calculate RUT,"The percentage of tax collections used to calculate the reserve for uncollected taxes in the current budget year.  The reserve for uncollected taxes is designed to ensure sufficient cash receipts to support municipal operations and property taxes due to school, county, local, and special districts."
,"Total Tax Revenue, Collections CY",Total tax revenues collected in the previous calendar year
,"Total Tax Levy, CY",Total tax levy for the previous calendar year
,"% of Taxes Collected, CY",The percentage of the previous calendar year's tax levy that was actually collected
,Delinquent Taxes,Delinquent taxes at the end of the prior calendar year
Revenues,Surplus,Surplus used as revenue in the budget
,Local Revenue,"Local, own-source revenue (i.e. license fees, interest, fines, utility operating surplus, etc.)"
,State Aid (without offsetting appropriation),"State aid (i.e. Energy Tax Receipts, CMPTRA, Transitional Aid)"
,Uniform Construction Code Fees,Unform construction code fees (i.e. permit fees)
,Shared Services Agreements,Revenues received pursuant to a shared services agreement with another local government unit
,Additional Revenue Offset by Appropriations,Additional revenues with offsetting appropriations
,Public and Private Revenue,Public and private revenues (i.e. grant revenues)
,Other Special Items,"Miscellaneous items including hotel taxes, cable TV franchising fees, sale of municipal assets, payments-in-lieu-of taxes, and debt payment reserves"
,Receipts from Delinquent Taxes,Receipts from the collection of delinquent taxes corresponding to prior years
,Local Tax for Municipal Purposes,Local municipal purpose property tax levy
,Minimum Library Tax,Municipal library property tax levy
,Open Space Levy Tax,Open space preservation property tax levy
,Addition to Local District School Tax,Additional municipal levy to support local school district
,Deficit General Budget,Carry-over of a previous year's general budget deficit
Appropriations,Total Appropriations,All budget appropriations including utility and enterprise funds
,General Budget,Budget appropriations for government operational purposes only. Excludes utility and enterprise funds
,General Government,"Includes Elected Officials, Clerk, Business Administrator, Financial Administration, Technology, Legal, Economic Development and municipal office employees not included in other listed budget categories. "
,Land-Use Administration,"Includes the Planning Board, Zoning Board of Adjustment, and Affordable Housing. "
,Uniform Construction Code,"Includes the budget for all building sub-code officials who enforce the Uniform Construction Code, as well as other code enforcement functions outside the scope of the UCC. "
,Insurance,"Includes Employee Health Benefits (medical, dental, prescription health coverage and other health-related benefits), Liability, Property Casualty, Workers Compensation and any other insurance costs."
,Public Safety,"includes 911 Communications, Police, Fire, Ambulance/Rescue, Emergency Management and any other public safety costs."
,Public Works,"Includes Street and Road Maintenance, Sanitary Sewer Services, Stormwater Management, Solid Waste, Recycling, Vehicle Maintenance and other miscellaneous public works functions."
,Health and Human Services,"Includes Animal Control, Board of Health and various health, human services and social services programs provided by your municipality for veterans, senior citizens, teens or other groups. "
,Parks and Recreation,"Includes park maintenance, administration of recreation programs and community centers, as well as special community events/celebrations and other similar functions"
,Education (including Library),Includes Library and other similar educational functions.
,Unclassified,All other unclassified expenditures
,Utilities and Bulk Purchases,"Includes all utility costs paid through the municipal budget - gas, electric, water, sewer, etc."
,Landfill / Solid Waste Disposal ,Includes all costs relating to landfill and solid waste disposal.
,Contingency,Contingency expenses for which no other appropriation was made
,Statutory Expenditures,"Includes Pension, Social Security, Unemployment, and other related payroll taxes."
,Judgements,Expenditures related to payment of court judgements 
,Shared Services,Expenditures made pursuant to a shared services agreement with another local government unit
,Court and Public Defender,Municipal court and public defender costs
,Capital,Capital expenditures
,Debt,Debt service payments
,Deferred Charges,Current year funding of deferred charges from a previous year corresponding to overexpenditures and emergency appropriations
,Debt - Type 1 School District,Debt service of payments on behalf of a Type 1 School District
,Reserve for Uncollected Taxes,Budget appropriation reserve for uncollected property taxes
,Surplus General Budget,Carry-over of a previous year's general budget surplus
Total Personnel Costs,Total Personnel Costs,"Sum of base pay, overtime, pension, health benefits, employment taxes, and other benefit and compensation costs"
,Base Pay,"The annualized rate of pay to which overtime (if eligible) and/or
pension is calculated"
,Overtime and other Compensation,Any other item that is charged as a salary and wage expense but not included in base pay
,Pension (Estimate) ,Estimated pension costs as listed on the Division of Pension and Benefits website
,Health Benefits Net of Cost Share,Health benefit costs net of employee contribution
,Employment Taxes and Other Benefits,Employment taxes and other benefits.
Health Plan Information,Employees Civil Service?,Whether the municipality's employees are subject to Title 11A (Civil Service). 
,Use State Health Benefits Plan?,Whether the municipality participates in the State Health Benefits Plan.
,Does State Plan Cover Rx?,Whether the municipality's State Health Benefits Plan contains a prescription benefit
,Single Coverage,Single member health care coverage
,Parent & Child,Parent and child health care coverage
