MATCHED_MUNI,Avg_Spread_BPS,Trade_Count,Spread_Std_Dev,Avg_Maturity
MOUNT HOLLY,136.56760987815218,542,70.03501534344046,8.293141986861347
JEFFERSON,104.75605087506308,822,264.68290254867185,4.74191759468817
UPPER PITTSGROVE,102.38019674009308,186,42.66947378431039,9.508099475245267
DUNELLEN,84.44784657332852,712,52.72521283286787,7.71451753070469
BELLMAWR,81.50486637477806,736,53.277416300599846,11.426915007588606
BUENA,81.45141891605363,1302,79.40343130661546,10.72456316875738
WALDWICK,81.12542738462335,1455,54.61875562644077,9.059826743909811
MINE HILL,81.0196664621146,232,45.088023751402105,12.086171493308788
RED BANK,81.00277435160383,591,58.33195367753959,7.269142082179533
HAMBURG,79.5163431119106,242,59.0275201737646,10.028905821326951
FAIRFIELD,74.18992512235452,922,77.07230082660871,8.528613064774522
OCEANPORT,73.00611744974039,877,65.53178953168366,13.635274257256514
CALDWELL,71.18066307856225,2678,64.70093326756924,15.250701970424466
SOUTH BOUND BROOK,68.82948842290116,165,68.30590393518672,4.877074647916537
CINNAMINSON,68.6336510117763,130,80.0911807245419,4.841130942978992
EAST RUTHERFORD,67.89951805703856,2500,60.56475653794767,7.464409582477756
DEPTFORD,67.14456776066622,2000,84.52322532458564,12.838611909650925
UNION,66.29227977685493,4726,58.468308916564716,6.2633759160083455
CARLSTADT,66.27070663910817,507,47.62268951606083,5.3005223246891235
AUDUBON,65.11933213707177,1879,50.65537728843367,12.90683184110266
COMMERCIAL,64.03884597881216,187,42.39049171527062,11.250458443597712
ALPHA,63.18613799757552,415,57.1942503129942,13.763631115839127
MATAWAN,62.134335791114566,501,42.02770610964201,8.21047022997127
WENONAH,62.041487746947716,390,78.96374616908605,8.234605731936327
RUMSON,61.988578330904105,1429,51.876169567006514,8.133988003462068
FLEMINGTON,61.74479220688446,1730,62.41056440400566,7.322044842197719
WYCKOFF,61.66006794894473,445,78.68405364070726,4.516715501926494
LAVALLETTE,61.145230018145845,407,73.77641203170877,7.069339266464523
PAULSBORO,60.6277117158226,333,70.75440923019043,4.66559372514198
MANSFIELD,60.260316606858616,173,55.15037948698172,7.5449312174336205
ISLAND HEIGHTS,58.12193198310393,288,62.95696634989737,9.432751540041068
ENGLEWOOD,54.806312317355605,2663,74.51304419424117,7.509952468011071
HASBROUCK HEIGHTS,54.051191497615136,467,49.4310512812549,4.868086303857468
HILLSBOROUGH,52.906175689335534,1510,70.3342785748524,7.21821124059997
BRIDGETON,51.07109317324673,711,58.22487394100396,6.8074830737477265
FLORHAM PARK,50.72516248544773,1111,62.19784725423803,6.686277662673865
BELMAR,49.93989923669413,158,51.97220833556193,9.562792954366266
WESTAMPTON,49.909554626116204,1519,64.12598928362877,11.017982128268942
CARTERET,49.10395430313153,2654,66.81047886852905,11.77410255180279
WEEHAWKEN,48.62723172454719,3894,77.9373310081654,7.8306209697293125
EDISON,48.59826456805015,4309,107.10564702246711,8.656893575025387
MOUNTAIN LAKES,48.492841489342375,791,60.0883831387724,9.498885044014152
ALEXANDRIA,48.36234231338899,673,56.3261167651306,10.851062747838043
LINCOLN PARK,47.8465291579644,623,64.62351430506394,10.374472507781231
LONG BRANCH,47.39631231490266,2052,82.5555272315022,10.92900534094381
LYNDHURST,46.69202667309802,2015,85.86276842191008,8.572387450045262
NEW MILFORD,46.42118268466725,696,56.70223336544863,4.998701881092308
EAST WINDSOR,46.22740246529367,929,86.43791723874678,3.045471457758189
HIGHLAND PARK,46.08944366582287,378,80.36833229429637,4.516026929442398
RUTHERFORD,45.95153002548368,3186,73.90991736062666,9.021231233669893
RIVER VALE,45.845601782759275,2877,68.90075271716819,12.091247418395607
KEARNY,45.81573629872016,2362,86.37754656918096,6.789364574042231
BARRINGTON,45.75280215735117,291,73.6018208886712,5.470978546445851
COLTS NECK,44.517489831660136,914,105.62915628929049,10.732099503202896
DUMONT,43.01003793047502,1717,75.3405222278556,11.396783065188993
HARMONY,42.588253532825696,128,43.33450580913536,3.7190922313483914
WOOD-RIDGE,42.55417377522983,1288,54.49331240147656,5.093231471679824
NORTHFIELD,42.24666273433238,463,62.60230427371467,11.054010463557166
WOODBRIDGE,42.19094155410629,8405,75.7356163745029,7.246192966361977
EAST AMWELL,41.54124414723823,113,57.435199266054575,8.632661590739765
LITTLE FALLS,41.37337150628553,971,51.19580588332595,5.51384820999964
ABERDEEN,40.119086480173614,892,59.76463724139936,8.391506523880995
COLLINGSWOOD,40.00155147446025,1688,76.54945183474355,8.262361688254815
RUNNEMEDE,39.8071260253652,279,54.61257424479346,9.525188963223009
CLIFTON,39.517186510360084,4085,77.50348248103272,8.502383220359288
FAIR HAVEN,39.47024475519007,1021,66.04430205664379,8.760009680353908
OCEAN GATE,39.33476943920941,146,55.36189108669266,6.839826352751446
LINDENWOLD,38.516016948191854,2395,66.60358905919524,13.197426191629551
SOUTH ORANGE,37.2176600595562,7847,72.2981835912528,7.876133098904642
MANASQUAN,36.47664730966575,2559,58.61059373279277,10.154216747590539
SOUTH RIVER,36.050315982127415,596,107.4067602245418,4.806829927097833
NORTH BERGEN,35.82943039072744,6645,165.88667022033368,12.049446944870624
FANWOOD,35.77384234004814,297,58.77889284976698,5.426263548097908
VERONA,35.69961838234895,2977,71.7972676167053,9.338482552868824
BAYONNE,34.81421570258854,4103,99.08256765419326,9.387421067004443
FRENCHTOWN,34.750729730186514,270,52.47138135243531,10.180434507060106
SADDLE BROOK,34.71368586642131,1426,50.79429844292859,8.94130612378119
MANCHESTER,34.463423569724384,1393,112.84321149055936,5.882181023431424
GLASSBORO,33.77985674101408,2128,71.40906007359915,7.370187532486247
MIDLAND PARK,33.00630893140134,259,39.95900815999233,6.209170743051646
EMERSON,31.904843099280747,434,52.51175246704998,7.9819074745219005
MAPLE SHADE,31.827651108965565,3775,67.54267281793922,10.502133801125057
HACKETTSTOWN,31.52535952186031,153,68.68897146533088,4.706311819731315
PENNS GROVE,31.0297680431972,114,86.59820333053149,4.377655294979406
NORTH PLAINFIELD,30.730207161574146,1109,72.28235534608551,4.586359257126528
BUENA VISTA,30.641848813514326,409,54.12713777878031,5.674654296133037
HADDON,30.605665585152963,1748,68.94443131405282,15.418822254278675
TEANECK,30.455845459168376,1359,69.16264745304179,5.782913010784694
BORDENTOWN,30.310326752843338,2308,76.5046137337378,7.01600361567123
LONG BEACH,29.89183775143151,1587,75.36277348664983,9.137705527499916
HADDONFIELD,29.71061249137464,2787,85.17775802784577,10.044531089022637
BELLEVILLE,29.426874020702048,2236,57.88144185969729,8.044990871789974
ROSELLE,28.46014575171966,2162,72.40045384130926,8.839301962020867
GREENWICH,28.396031432633077,234,54.39946788837126,15.386873526503917
WEST NEW YORK,28.25545872124601,565,62.652493960302884,4.60476458723265
ABSECON,28.007765029006944,524,88.07485040004185,8.473047321974386
RANDOLPH,27.96545264147133,1781,66.12545803894301,8.099448087097782
CLARK,27.58208753837902,783,106.93685915886752,8.938887009457474
NORTHVALE,27.06709662668674,474,45.295351110189195,10.331112439604109
OAKLAND,27.02419418424382,566,66.79301948366005,5.000718323042207
MOONACHIE,26.867144874935466,304,60.38892377582028,7.007853308836775
BRADLEY BEACH,26.486224448606382,182,59.19568792538175,4.805695331362682
RAHWAY,25.314737296537544,5069,68.9186316246724,5.773775694188171
CHESTERFIELD,24.67674544496585,1332,76.17978291297138,8.26944398196965
RAMSEY,24.514211132104286,1227,54.37725104785522,9.532560509682051
FLORENCE,24.49457263815855,1922,77.63961050263774,8.95648854255029
MIDDLESEX,23.328711117360136,701,62.72331537001929,9.239398883573969
MIDDLE,22.865318820189124,1440,110.29176261700188,8.501785306867443
FAIR LAWN,22.47239252884614,2225,72.05214904124993,6.397535319044213
MOUNT EPHRAIM,21.974550969478642,258,39.98928276963576,4.854814319596326
WILLINGBORO,21.964163110762343,2771,60.38274412427453,10.286337595972366
SOUTH BRUNSWICK,21.91653754464273,5123,79.86451266625247,6.795204565899274
GARFIELD,21.720004979215016,954,86.79281100034217,8.846610044238961
GLOUCESTER,20.475191463154594,1836,138.90538269796488,6.500123024340925
NEWTON,19.80853137314046,708,103.4555945846315,5.832441985019162
HARRISON,18.9830718143683,2121,69.37364472091703,5.892806235742377
HACKENSACK,18.98252528832549,3088,70.8445493648282,8.601572668305122
NORTH BRUNSWICK,18.88536083005691,6643,72.25005506678285,8.309827608750284
TOMS RIVER,18.815862503713507,8805,70.33641183853665,7.610496338454949
MAYWOOD,18.59149725918618,1540,53.28775065715893,9.88395957225526
MILLTOWN,18.173866897198693,403,51.97783112564791,8.071931424650508
FORT LEE,18.163347097375595,2288,71.70426312306309,6.714406743154177
NORTH WILDWOOD,17.277462249084163,1590,60.59132211385941,5.327914455077293
BOUND BROOK,17.13793235489865,651,99.39217890066054,4.284782743549386
ALLAMUCHY,17.1052853941029,136,37.92025554660907,5.843560011273503
FRANKLIN LAKES,16.706209357854174,853,52.38214974833813,11.550389052448459
CHESTER,16.292970264230505,458,68.88338898315627,4.262253825070464
EAST BRUNSWICK,16.289970006489177,3941,116.1170312285724,4.439929757905839
PENNSAUKEN,16.267928755063288,2446,63.64108654950655,7.825658452554646
METUCHEN,15.897557155055928,3016,50.852209803685795,16.98017690728163
MEDFORD,15.840050996231703,1274,79.19709453028864,7.6405979861538675
DELRAN,15.805760273945193,1596,59.51236510050949,6.809496362398123
HILLSIDE,15.399019159207931,913,63.0656879258757,7.198508426088149
WEST ORANGE,14.788401464297745,3419,73.99400343776973,4.517577118165808
LUMBERTON,14.497348616867463,326,50.25266572733645,5.999672465703379
LAWRENCE,13.960677332061426,2098,232.59255385391052,12.395542444843334
WINSLOW,13.638946561456772,511,59.944379758468585,5.582643847671554
MILLVILLE,13.638594726167828,993,69.2623424309875,6.838903122680116
UNION BEACH,13.334820746824859,120,53.25175882349937,2.701232032854209
PENNSVILLE,13.180614658950319,1395,54.530124222214525,5.432759513172841
BLAIRSTOWN,12.705398200433498,160,62.71325087152697,7.018035592060232
SPARTA,12.669783007726018,1439,160.1789989102836,5.627025384100583
VERNON,12.628745056794704,697,71.1367971436854,6.8082453695656655
HOLMDEL,12.587617948762148,2224,64.20522088284994,5.542754297588623
WILDWOOD,12.451973930744604,1927,68.37726669910148,9.225672004196996
LOWER,12.404087408495132,2064,72.56715557413662,7.547567504470232
PILESGROVE,12.3646764658661,459,49.10181088929331,5.407732489908276
HOBOKEN,12.325420243645839,5742,66.18789309778143,7.895507268869869
WANAQUE,11.589388277918188,416,63.20790603046515,4.469363712946875
VOORHEES,11.57498017815852,1059,62.86119753224455,4.504423800687565
EATONTOWN,11.31153603596902,184,71.04753081978973,8.368836115822992
UPPER,10.990311300565772,632,63.286440228304954,4.976225751392752
BURLINGTON,10.723748813631651,1695,61.66730497711808,9.014398753026072
HALEDON,10.678388544638493,226,46.72710755149683,4.571665667229985
