date_bucket,name,trade_count,cusip_count,avg_yield,avg_synthetic_aaa,avg_spread_bps,level,view,spread_bps_rolling_4w
2021-07-19,NEW JERSEY,41,11,1.1293170731707316,0.6304108250836102,49.890624808712154,state,weekly,49.890624808712154
2021-07-26,NEW JERSEY,3,1,0.9213333333333334,0.56430070727812,35.70326260552134,state,weekly,42.796943707116746
2021-11-29,NEW JERSEY,4,1,1.2195,0.7039272187999088,51.557278120009116,state,weekly,45.71705517808087
2022-01-03,NEW JERSEY,1264,430,1.352992088607595,1.1986942023554759,15.429788625211915,state,weekly,38.145238539863634
2022-01-10,NEW JERSEY,1435,493,1.4697114982578399,1.2750917298145115,19.461976844332835,state,weekly,30.538076548768803
2022-01-17,NEW JERSEY,1474,467,1.719980325644505,1.4249779788135424,29.50023468309625,state,weekly,28.98731956816253
2022-01-24,NEW JERSEY,1975,641,1.7865756962025316,1.3096608680835333,47.69148281189984,state,weekly,28.02087074113521
2022-01-31,NEW JERSEY,2035,554,1.9054176904176905,1.4018685773098092,50.35491131078811,state,weekly,36.75215141252926
2022-02-07,NEW JERSEY,2117,532,2.0677661785545585,1.578402361380138,48.93638171744204,state,weekly,44.12075263080656
2022-02-14,NEW JERSEY,2287,554,2.2396781810231747,1.6512176301668777,58.84605508562967,state,weekly,51.457207731439915
2022-02-21,NEW JERSEY,1454,485,1.947372764786795,1.5307382351344334,41.66345296523614,state,weekly,49.95020026977399
2022-02-28,NEW JERSEY,1968,582,1.9950040650406504,1.4322988245187893,56.27052405218611,state,weekly,51.42910345512349
2022-03-07,NEW JERSEY,2476,632,2.2779487075928917,1.6096110014662317,66.83377061266599,state,weekly,55.90345067892948
2022-03-14,NEW JERSEY,2429,586,2.4307126389460683,1.7855368677044536,64.51757712416146,state,weekly,57.321331188562425
2022-03-21,NEW JERSEY,2250,531,2.525828888888889,1.9551266751033032,57.07022137855858,state,weekly,61.17302329189303
2022-03-28,NEW JERSEY,2330,578,2.5878682403433477,1.99832339847969,58.954484186365775,state,weekly,61.844013325437956
2022-04-04,NEW JERSEY,1918,524,2.6295057351407713,2.121904883142923,50.76008519978484,state,weekly,57.825591972217666
2022-04-11,NEW JERSEY,1683,492,2.8739845513963163,2.222547250050125,65.14373013461912,state,weekly,57.98213022483208
2022-04-18,NEW JERSEY,2733,657,3.0284193194291986,2.333478227524617,69.4941091904582,state,weekly,61.08810217780699
2022-04-25,NEW JERSEY,2560,631,3.035868359375,2.326348887204469,70.95194721705312,state,weekly,64.08746793547883
2022-05-02,NEW JERSEY,2537,609,3.1687398502167916,2.4446975463482685,72.40423038685228,state,weekly,69.49850423224568
2022-05-09,NEW JERSEY,2759,679,3.2426447988401597,2.390283226735938,85.23615721042212,state,weekly,74.52161100119643
2022-05-16,NEW JERSEY,3195,753,3.280049765258216,2.381752600669038,89.82971645891779,state,weekly,79.60551281831133
2022-05-23,NEW JERSEY,3008,686,3.1739860372340427,2.3091713850979483,86.48146521360941,state,weekly,83.4878923174504
2022-05-30,NEW JERSEY,1893,517,2.865297411516112,2.4217550845309623,44.35423269851498,state,weekly,76.47539289536608
2022-06-06,NEW JERSEY,1950,523,2.8433702564102563,2.5298282527246876,31.354200368556842,state,weekly,63.00490368489975
2022-06-13,NEW JERSEY,2565,561,3.3169703703703703,2.858289617070028,45.868075330034216,state,weekly,52.014493402678866
2022-06-20,NEW JERSEY,1887,442,3.342758346581876,2.715355589264829,62.740275731704656,state,weekly,46.079196032202674
2022-06-27,NEW JERSEY,2700,567,3.194038888888889,2.653860176168868,54.017871272002104,state,weekly,48.49510567557446
2022-07-04,NEW JERSEY,2207,446,3.095048935206162,2.5550881298703096,53.99608053358526,state,weekly,54.155575716831564
2022-07-11,NEW JERSEY,2315,496,3.057723110151188,2.6298438189569064,42.78792911942815,state,weekly,53.385539164180045
2022-07-18,NEW JERSEY,2469,510,3.017014175779668,2.638375197084505,37.8638978695163,state,weekly,47.16644469863295
2022-07-25,NEW JERSEY,1932,500,2.9129580745341617,2.492594546795,42.03635277391617,state,weekly,44.17106507411147
2022-08-01,NEW JERSEY,1757,461,2.763506545247581,2.4768467849536635,28.665976029391775,state,weekly,37.838538948063096
2022-08-08,NEW JERSEY,1496,424,2.7333482620320857,2.5823703254309,15.097793660118528,state,weekly,30.916005083235692
2022-08-15,NEW JERSEY,1659,458,2.8545587703435804,2.6092025321406602,24.535623820292034,state,weekly,27.58393657092963
2022-08-22,NEW JERSEY,1839,482,3.0395584556824358,2.7405472956775876,29.90111600048485,state,weekly,24.550127377571798
2022-08-29,NEW JERSEY,1461,374,3.1109712525667352,2.8661576513419167,24.481360122481817,state,weekly,23.50397340084431
2022-09-05,NEW JERSEY,1293,374,3.2306720804331013,2.932012573909708,29.86595065233936,state,weekly,27.19601264889952
2022-09-12,NEW JERSEY,1852,537,3.326686825053996,3.0803585159183156,24.632830913567986,state,weekly,27.2203144222185
2022-09-19,NEW JERSEY,2116,575,3.578950850661626,3.262152298556849,31.679855210477673,state,weekly,27.66499922471671
2022-09-26,NEW JERSEY,2518,629,3.922960683081811,3.405530062926351,51.74306201554602,state,weekly,34.480424697982755
2022-10-03,NEW JERSEY,2268,586,3.8219254850088187,3.3740946846904483,44.78308003183698,state,weekly,38.20970704285716
2022-10-10,NEW JERSEY,1990,552,3.882785929648241,3.5611739434509992,32.161198619724225,state,weekly,40.09179896939622
2022-10-17,NEW JERSEY,2707,691,3.9595555966014038,3.6964135435453884,26.31420530560153,state,weekly,38.75038649317719
2022-10-24,NEW JERSEY,3085,763,4.239835656401945,3.642391674241609,59.744398216033595,state,weekly,40.75072054329908
2022-10-31,NEW JERSEY,2836,699,4.254590973201693,3.7190152255299753,53.55757476717168,state,weekly,42.94434422713275
2022-11-07,NEW JERSEY,2473,614,4.217536595228467,3.6747359789813947,54.28006162470726,state,weekly,48.47405997837851
2022-11-14,NEW JERSEY,3233,852,3.962068048252397,3.470768525315628,49.129952293676915,state,weekly,54.177996725397364
2022-11-21,NEW JERSEY,1801,582,3.812099944475291,3.460504477156263,35.15954673190282,state,weekly,48.03178385436467
2022-11-28,NEW JERSEY,3031,867,3.7157895084130645,3.3614010409207524,35.43884674923126,state,weekly,43.502101849879566
2022-12-05,NEW JERSEY,3380,964,3.4769017751479288,3.298113967568348,17.878780757958072,state,weekly,34.40178163319227
2022-12-12,NEW JERSEY,3157,976,3.60979822616408,3.2480245042632028,36.177372190087674,state,weekly,31.163636607294958
2022-12-19,NEW JERSEY,3093,884,3.69405916585839,3.341556032636161,35.25031332222291,state,weekly,31.18632825487498
2022-12-26,NEW JERSEY,1988,584,3.875684607645875,3.4629639562907903,41.27206513550848,state,weekly,32.644632851444285
2023-01-02,NEW JERSEY,2187,577,3.612642889803384,3.3916120045639193,22.10308852394645,state,weekly,33.70070979294138
2023-01-09,NEW JERSEY,2079,594,3.276801827801828,3.266934203622659,0.9867624179168788,state,weekly,24.903057349898678
2023-01-16,NEW JERSEY,1560,523,3.150723717948718,3.2035582554245132,-5.283453747579504,state,weekly,14.769615582448075
2023-01-23,NEW JERSEY,1963,617,3.144150789607743,3.2498441049560607,-10.569331534831754,state,weekly,1.8092664148630178
2023-01-30,NEW JERSEY,2174,597,3.0534471021159155,3.2282884627945934,-17.48413606786779,state,weekly,-8.087539733090543
2023-02-06,NEW JERSEY,1638,533,3.1287765567765566,3.471542326482299,-34.276576970574226,state,weekly,-16.903374580213317
2023-02-13,NEW JERSEY,1962,573,3.331732415902141,3.6058201279594058,-27.4087712057265,state,weekly,-22.43470394475007
2023-02-20,NEW JERSEY,1599,454,3.707219512195122,3.6409528914304046,6.626662076471767,state,weekly,-18.135705541924185
2023-02-27,NEW JERSEY,2776,597,3.6256631844380403,3.6844001355857476,-5.873695114770767,state,weekly,-15.23309530364993
2023-03-06,NEW JERSEY,1818,525,3.607574807480748,3.699470136204814,-9.189532872406547,state,weekly,-8.961334279108012
2023-03-13,NEW JERSEY,1648,517,3.324323422330097,3.275070269800686,4.925315252941088,state,weekly,-0.8778126644411146
2023-03-20,NEW JERSEY,1700,523,3.394571176470588,3.190059328998403,20.45118474721854,state,weekly,2.578318003245579
2023-03-27,NEW JERSEY,1424,464,3.382379213483146,3.286451046337099,9.59281671460471,state,weekly,6.444945960589449
2023-04-03,NEW JERSEY,1415,472,3.213999293286219,3.0990450282774193,11.495426500879976,state,weekly,11.616185803911078
2023-04-10,NEW JERSEY,1747,601,3.1643251287922154,3.2006090295139114,-3.628390072169603,state,weekly,9.477759472633407
2023-04-17,NEW JERSEY,2002,647,3.29391008991009,3.3930282107579846,-9.911812084789485,state,weekly,1.8870102646313995
2023-04-24,NEW JERSEY,1961,582,3.401830188679245,3.281566831621827,12.026335705741785,state,weekly,2.495390012415668
2023-05-01,NEW JERSEY,1826,543,3.391410186199343,3.2287215418453106,16.268864435403245,state,weekly,3.6887494960464853
2023-05-08,NEW JERSEY,1645,518,3.4572644376899695,3.2667237442259296,19.054069346404013,state,weekly,9.359364350689889
2023-05-15,NEW JERSEY,2059,595,3.622757163671685,3.3849016033846167,23.785556028706893,state,weekly,17.783706379063986
2023-05-22,NEW JERSEY,1892,542,3.831801268498943,3.577608928222582,25.419234027636097,state,weekly,21.131930959537563
2023-05-29,NEW JERSEY,1861,503,3.64716980118216,3.5214033915292133,12.576640965294695,state,weekly,20.208875092010423
2023-06-05,NEW JERSEY,1879,578,3.572959020755721,3.6216015497002845,-4.864252894456375,state,weekly,14.229294531795327
2023-06-12,NEW JERSEY,1832,547,3.6116888646288205,3.7172223770109203,-10.553351238209943,state,weekly,5.644567715066119
2023-06-19,NEW JERSEY,2388,673,3.5645113065326632,3.6185246228671684,-5.401331633450531,state,weekly,-2.0605737002055386
2023-06-26,NEW JERSEY,2691,753,3.627065774804905,3.671673727611995,-4.46079528070897,state,weekly,-6.319932761706455
2023-07-03,NEW JERSEY,1823,502,3.5804185408667033,3.8328210166968097,-25.24024758301065,state,weekly,-11.413931433845022
2023-07-10,NEW JERSEY,2557,664,3.577460696128275,3.6661243990830648,-8.866370295478907,state,weekly,-10.992186198162264
2023-07-17,NEW JERSEY,2556,691,3.4976318466353677,3.619940269891461,-12.23084232560928,state,weekly,-12.699563871201951
2023-07-24,NEW JERSEY,1830,531,3.5595218579234973,3.770032560788142,-21.051070286464455,state,weekly,-16.84713262264082
2023-07-31,NEW JERSEY,2007,580,3.67967812655705,3.831133671494965,-15.145554493791456,state,weekly,-14.323459350336027
