RTRS_CONTROL_NUMBER,TRADE_TYPE_INDICATOR,CUSIP,SECURITY_DESCRIPTION,DATED_DATE,COUPON,MATURITY_DATE,WHEN_ISSUED_INDICATOR,ASSUMED_SETTLEMENT_DATE,TRADE_DATE,TIME_OF_TRADE,SETTLEMENT_DATE,PAR_TRADED,DOLLAR_PRICE,YIELD,BROKERS_BROKER_INDICATOR,WEIGHTED_PRICE_INDICATOR,OFFER_PRICE_TAKEDOWN_INDICATOR,RTRS_PUBLISH_DATE,RTRS_PUBLISH_TIME,VERSION_NUMBER,UV_DOLLAR_PRICE_INDICATOR,ATS_INDICATOR,NTBC_INDICATOR
4864C5E19C1A213F,P,000369BZ0,ABAG FIN AUTH FOR NONPROFIT COMB FING 3,19931101,5.6,20231101,,,20160920,14:36:21,20160923,5000.0,99.395,5.703,,,,20161019,0:06:42,1.2,,,
9EA6E69FF65F77A1,D,000369BZ0,ABAG FIN AUTH FOR NONPROFIT COMB FING 3,19931101,5.6,20231101,,,20160920,14:36:21,20160923,5000.0,100.02,5.208,,,,20161019,0:06:42,1.2,,Y,
F00881E72E0A7E04,D,000369BZ0,ABAG FIN AUTH FOR NONPROFIT COMB FING 3,19931101,5.6,20231101,,,20160920,14:52:04,20160923,5000.0,101.02,-7.736,,,,20161019,0:06:43,1.2,,Y,
6EA5C3DED5F98255,S,000369BZ0,ABAG FIN AUTH FOR NONPROFIT COMB FING 3,19931101,5.6,20231101,,,20160920,17:03:48,20160923,5000.0,101.02,-7.736,,,,20161019,0:06:46,1.2,,,
6449106E32AB3F82,P,000369BZ0,ABAG FIN AUTH FOR NONPROFIT COMB FING 3,19931101,5.6,20231101,,,20161018,13:42:46,20161021,10000.0,100.0,5.469,,,,20161116,0:05:44,1.2,,,
29AEC7411AE52D66,D,000369BZ0,ABAG FIN AUTH FOR NONPROFIT COMB FING 3,19931101,5.6,20231101,,,20161018,13:42:50,20161021,10000.0,100.68,-3.363,,,,20161116,0:05:44,1.2,,Y,
AE07CFF1296409B2,D,000369BZ0,ABAG FIN AUTH FOR NONPROFIT COMB FING 3,19931101,5.6,20231101,,,20161018,13:42:50,20161021,10000.0,100.93,-6.582,,,,20161116,0:05:44,1.2,,Y,
DA200EBC8D236EB0,S,000369BZ0,ABAG FIN AUTH FOR NONPROFIT COMB FING 3,19931101,5.6,20231101,,,20161018,13:51:33,20161021,10000.0,101.03,-7.865,,,,20161116,0:05:45,1.2,,,
FFF8A853FC3A33AC,P,000369CA4,ABAG FIN AUTH FOR NONPROFIT COMB FING 4,19940101,5.95,20240101,,,20160115,12:05:37,20160121,5000.0,100.686,-4.203,,,,20160213,0:05:36,1.1,,,
B8A80A8230EC5438,S,000369CA4,ABAG FIN AUTH FOR NONPROFIT COMB FING 4,19940101,5.95,20240101,,,20160122,10:32:20,20160122,5000.0,102.5,-22.909,,,,20160220,0:05:20,1.1,,,
0646CAC6768D48B2,P,000369CA4,ABAG FIN AUTH FOR NONPROFIT COMB FING 4,19940101,5.95,20240101,,,20160202,12:18:25,20160205,5000.0,100.157,3.898,,,,20160302,0:05:50,1.1,,,
1F174B29A8DDD3DC,D,000369CA4,ABAG FIN AUTH FOR NONPROFIT COMB FING 4,19940101,5.95,20240101,,,20160202,12:18:25,20160205,5000.0,100.257,2.467,,,,20160302,0:05:50,1.1,,,
5A572E1EF0D141EE,S,000369CA4,ABAG FIN AUTH FOR NONPROFIT COMB FING 4,19940101,5.95,20240101,,,20160210,10:17:34,20160216,5000.0,100.257,5.907,,,,20160310,0:06:05,1.1,Y,,
1533D24CB7E94A08,P,00036TAC8,ABAG FIN AUTH FOR NONPROFIT NATL IBC,19981201,5.2,20231115,,,20160105,12:36:30,20160108,30000.0,97.515,5.594,,,,20160203,0:06:31,1.1,,,
CF3D78C7A40D67CD,P,00036TAC8,ABAG FIN AUTH FOR NONPROFIT NATL IBC,19981201,5.2,20231115,,,20160105,15:32:12,20160108,30000.0,99.0,5.357,,,,20160203,0:06:41,1.1,,,
CD8D2DF33B5F55A6,S,00036TAC8,ABAG FIN AUTH FOR NONPROFIT NATL IBC,19981201,5.2,20231115,,,20160106,9:37:46,20160111,30000.0,100.339,0.31,,,,20160204,0:06:08,1.1,,,
FE47DC8088DBB0A0,S,00036TAC8,ABAG FIN AUTH FOR NONPROFIT NATL IBC,19981201,5.2,20231115,,,20160106,10:45:00,20160111,30000.0,100.35,0.156,,,,20160204,0:06:10,1.1,,,
640C6BCB92C5D4E4,P,000379BF3,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.25,20300901,,,20161121,15:51:34,20161122,10000.0,106.87,4.187,,,,20161220,0:06:09,1.2,,,
E385DA738C3939EC,S,000379BF3,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.25,20300901,,,20161121,15:52:36,20161212,10000.0,109.56,2.529,,,,20161220,0:06:09,1.2,,,
A623BC96A2E47432,P,000379BF3,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.25,20300901,,,20161219,12:01:54,20161219,10000.0,105.55,4.803,,,,20170117,0:07:30,1.2,,,
DE3A7238FB13E66A,S,000379BF3,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.25,20300901,,,20161219,12:34:27,20161222,10000.0,108.589,3.0,,,,20170117,0:07:32,1.2,,,
ADECC494BF130970,P,000379BG1,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.625,20380901,,,20160406,16:18:08,20160411,45000.0,107.833,5.097,,,,20160505,0:06:06,1.1,,,
16F22B4B9EBF251F,S,000379BG1,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.625,20380901,,,20160406,16:20:27,20160411,45000.0,110.43,4.0,,,,20160505,0:06:06,1.1,,,
120A35ED4D8287C8,D,000379BG1,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.625,20380901,,,20160513,15:41:51,20160518,5000.0,104.818,6.32,,,,20160611,0:06:02,1.1,,,
E0A5035342AEFB37,P,000379BG1,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.625,20380901,,,20160513,15:41:51,20160518,5000.0,104.318,6.552,,,,20160611,0:06:02,1.1,,,
61AE81DE1C6C126E,D,000379BG1,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.625,20380901,,,20160614,14:49:12,20160617,5000.0,107.469,5.0,,,,20160713,0:06:55,1.1,,,
ED9B5B1CDF750E32,D,000379BG1,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.625,20380901,,,20160614,14:49:12,20160617,5000.0,106.969,5.231,,,,20160713,0:06:55,1.1,,,
7FC6F95CE4C27701,S,000379BG1,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.625,20380901,,,20160614,15:12:51,20160617,5000.0,108.269,4.632,,,,20160713,0:06:57,1.1,,,
5E82F2175708FC6D,P,000379BG1,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.625,20380901,,,20161216,15:36:39,20161221,200000.0,104.627,5.712,,,,20170114,0:06:07,1.2,,,
4D54BB8CF4CA40E3,S,000379BG1,ABAG FIN AUTH FOR NONPROFIT TAXABLE-NO 2004-1-SEISMIC PJ-A,20071031,8.625,20380901,,,20161220,10:44:13,20161223,200000.0,107.897,3.75,,,,20170118,0:06:21,1.2,,,
A5690C83B8CDB880,D,000379BZ9,ABAG FIN AUTH FOR NONPROFIT NO 2006-2-SAN FRANCISCO MINT-A,20071101,5.5,20370901,,,20161128,12:47:25,20161201,15000.0,101.53,3.284,,,,20161227,0:08:09,1.2,,Y,
08CDA73AA95F9CB1,P,000379BZ9,ABAG FIN AUTH FOR NONPROFIT NO 2006-2-SAN FRANCISCO MINT-A,20071101,5.5,20370901,,,20161128,12:51:36,20161201,15000.0,99.53,5.537,,,,20161227,0:08:08,1.2,,,
8D12F1E30F9EBA77,S,000379BZ9,ABAG FIN AUTH FOR NONPROFIT NO 2006-2-SAN FRANCISCO MINT-A,20071101,5.5,20370901,,,20161128,12:55:36,20161201,15000.0,101.63,2.893,,,,20161227,0:08:09,1.2,,,
353CC2215D87FA4B,D,00037CEM8,ABAG FIN AUTH FOR NONPROFIT ARS-NEW DE YOUNG MUSEUM PROJ-A,20020620,0.533,20320601,,,20160111,12:14:03,20160112,100000.0,87.5,,,,,20160209,0:05:48,1.1,,,
BD40E30A30340093,D,00037CEM8,ABAG FIN AUTH FOR NONPROFIT ARS-NEW DE YOUNG MUSEUM PROJ-A,20020620,0.533,20320601,,,20160111,12:16:50,20160112,100000.0,87.25,,,,,20160209,0:05:48,1.1,,,
B4FBAF83228DB758,D,00037CEM8,ABAG FIN AUTH FOR NONPROFIT ARS-NEW DE YOUNG MUSEUM PROJ-A,20020620,0.533,20320601,,,20160111,12:19:09,20160112,100000.0,88.0,,,,,20160209,0:05:56,1.1,,,
32A08A33BB4175A2,P,00037CFH8,ABAG FIN AUTH FOR NONPROFIT VAR-MENLO SCHOOL,20031120,0.02,20330901,,,20160606,14:29:14,20160613,9900000.0,100.0,,,,,20160705,0:06:57,1.1,,,
D41B12210C06960D,S,00037CFH8,ABAG FIN AUTH FOR NONPROFIT VAR-MENLO SCHOOL,20031120,0.02,20330901,,,20160614,13:38:07,20160615,9900000.0,100.0,,,,,20160713,0:06:52,1.1,,,
3329B4384FC39636,P,00037CFH8,ABAG FIN AUTH FOR NONPROFIT VAR-MENLO SCHOOL,20031120,0.02,20330901,,,20160615,15:18:36,20160622,5100000.0,100.0,,,,,20160714,0:06:43,1.1,,,
F15050DF456B8115,S,00037CFH8,ABAG FIN AUTH FOR NONPROFIT VAR-MENLO SCHOOL,20031120,0.41,20330901,,,20160623,10:47:35,20160623,1150000.0,100.0,,,,,20160623,10:49:36,1.2,,,
