cusip,trade_date,rtrs_control_number,trade_type_indicator,security_description,dated_date,coupon,maturity_date,when_issued_indicator,assumed_settlement_date,time_of_trade,settlement_date,par_traded,dollar_price,yield,brokers_broker_indicator,weighted_price_indicator,offer_price_takedown_indicator,rtrs_publish_date,rtrs_publish_time,version_number,uv_dollar_price_indicator,ats_indicator,ntbc_indicator,cusip6
000379CB1,2024-05-07,2024050711237600,D,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.125,2024-09-01,,,14:59:31,2024-05-09,100000.0,99.933,5.293,,,,2024-05-07,14:59:55,1.3,,Y,,000379
000379CB1,2024-05-07,2024050712878000,D,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.125,2024-09-01,,,15:36:08,2024-05-09,100000.0,99.683,6.104,,,,2024-05-07,15:56:06,1.3,,Y,,000379
000379CB1,2024-05-07,2024050712779800,P,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.125,2024-09-01,,,15:52:29,2024-05-09,100000.0,99.583,6.43,,,,2024-05-07,15:53:04,1.3,,,Y,000379
000379CB1,2024-05-07,2024050713682900,S,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.125,2024-09-01,,,16:34:46,2024-05-09,100000.0,100.411,3.752,,,,2024-05-07,16:34:59,1.3,,,,000379
000379CD7,2024-05-07,2024050711562600,D,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.25,2026-09-01,,,15:10:47,2024-05-09,100000.0,100.5,3.589,,,,2024-05-07,15:12:04,1.3,,Y,,000379
000379CD7,2024-05-07,2024050712875000,D,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.25,2026-09-01,,,15:36:08,2024-05-09,100000.0,100.25,4.392,,,,2024-05-07,15:56:05,1.3,,Y,,000379
000379CD7,2024-05-07,2024050712779700,P,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.25,2026-09-01,,,15:52:31,2024-05-09,100000.0,100.15,4.714,,,,2024-05-07,15:53:04,1.3,,,Y,000379
000379CD7,2024-05-07,2024050715588300,S,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.25,2026-09-01,,,18:00:00,2024-05-09,50000.0,101.987,-1.104,,,,2024-05-07,18:00:45,1.3,,,,000379
000379CD7,2024-05-07,2024050715628500,S,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.25,2026-09-01,,,18:00:00,2024-05-09,50000.0,101.987,-1.104,,,,2024-05-07,18:01:46,1.3,,,,000379
000379BZ9,2024-05-30,2024053013392900,S,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.5,2037-09-01,,,16:01:51,2024-05-31,25000.0,101.225,0.585,,,,2024-05-30,16:02:31,1.3,,,Y,000379
000379BZ9,2024-05-30,2024053013393300,P,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.5,2037-09-01,,,16:01:51,2024-05-31,25000.0,100.975,1.563,,,,2024-05-30,16:02:31,1.3,,,,000379
000379BZ9,2024-08-13,2024081308173700,P,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.5,2037-09-01,,,13:47:27,2024-08-14,10000.0,100.645,4.29,,,,2024-08-13,13:47:37,1.3,,,,000379
000379BZ9,2024-08-13,2024081308173800,D,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.5,2037-09-01,,,13:47:27,2024-08-14,10000.0,100.745,4.105,,,,2024-08-13,13:47:37,1.3,,Y,,000379
000379BZ9,2024-08-15,2024081500712000,S,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF CMNTY FACS DIST SPL TAX NO 2006-2-SAN FRANCISCO MINT-A,2007-11-01,5.5,2037-09-01,,,09:07:06,2024-08-16,10000.0,101.331,3.001,,,,2024-08-15,09:07:17,1.3,,,,000379
00037CVN7,2024-01-02,2024010200076600,P,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF REV SHARP HEALTHCARE-SER A,2014-02-12,5.0,2043-08-01,,,08:06:47,2024-01-04,10000.0,100.0,4.891,,,,2024-01-02,08:06:59,1.3,,,Y,00037C
00037CVN7,2024-01-02,2024010209806000,P,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF REV SHARP HEALTHCARE-SER A,2014-02-12,5.0,2043-08-01,,,15:20:58,2024-01-04,50000.0,100.0,4.891,,,,2024-01-02,15:21:08,1.3,,,Y,00037C
00037CVN7,2024-01-02,2024010211144400,S,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF REV SHARP HEALTHCARE-SER A,2014-02-12,5.0,2043-08-01,,,16:14:57,2024-01-04,50000.0,100.107,3.004,,,,2024-01-02,16:15:07,1.3,,,,00037C
00037CVP2,2024-01-02,2024010208720000,P,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF REV SHARP HEALTHCARE-SER A,2014-02-12,5.0,2031-08-01,,,14:41:36,2024-01-04,15000.0,100.0,4.891,,,,2024-01-02,14:41:48,1.3,,,Y,00037C
00037CVP2,2024-01-02,2024010209447400,P,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF REV SHARP HEALTHCARE-SER A,2014-02-12,5.0,2031-08-01,,,15:06:01,2024-01-04,20000.0,100.0,4.891,,,,2024-01-02,15:06:15,1.3,,,Y,00037C
00037CWR7,2024-01-02,2024010207361200,S,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF REV REF-SUB-WINDEMERE RANCH,2017-06-29,5.0,2026-09-02,,,13:43:32,2024-01-04,10000.0,105.905,2.685,,,,2024-01-02,13:43:45,1.3,,,,00037C
00037CWR7,2024-01-02,2024010207361700,P,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF REV REF-SUB-WINDEMERE RANCH,2017-06-29,5.0,2026-09-02,,,13:43:32,2024-01-04,10000.0,105.705,2.76,,,,2024-01-02,13:43:45,1.3,,,Y,00037C
00037CNR7,2024-01-03,2024010306116200,S,ABAG FIN AUTH FOR NONPROFIT CORPS CALIF REV VAR-SHARP HEALTHCARE-SER A,2009-02-12,2.03,2024-08-01,,,12:21:46,2024-01-03,2710000.0,100.0,,,,,2024-01-03,12:22:11,1.3,,,Y,00037C
