COUNTY,AVG_RATIO_ASSESSED_TO_TRUE_VALUE
ATLANTIC COUNTY,55.55
BERGEN COUNTY,76.21
BURLINGTON COUNTY,59.52
CAMDEN COUNTY,69.00
CAPE MAY COUNTY,51.91
CUMBERLAND COUNTY,63.71
ESSEX COUNTY,67.64
GLOUCESTER COUNTY,64.80
HUDSON COUNTY,65.85
HUNTERDON COUNTY,73.47
MERCER COUNTY,63.29
MIDDLESEX COUNTY,44.38
MONMOUTH COUNTY,90.23
MORRIS COUNTY,72.15
OCEAN COUNTY,64.60
PASSAIC COUNTY,44.71
SALEM COUNTY,72.37
SOMERSET COUNTY,88.01
SUSSEX COUNTY,72.80
UNION COUNTY,45.40
WARREN COUNTY,60.55
STATE TOTALS,66.23
