MUN_NAME,COUNTY,TOTAL_MARKET_VALUE,VALUE_AT_RISK_2FT,FRM_RATIO_2FT,VALUE_AT_RISK_4FT,FRM_RATIO_4FT,VALUE_AT_RISK_5FT,FRM_RATIO_5FT,VALUE_AT_RISK_7FT,FRM_RATIO_7FT
ABSECON CITY,ATLANTIC,1294762556.2556255,54179890.40915356,0.041845425748052605,114168295.47813605,0.08817701355861249,121666846.11175887,0.09396846203493248,178231767.018495,0.1376559479244831
ATLANTIC CITY CITY,ATLANTIC,4275340167.416742,454623046.82789415,0.10633611105209151,1933210839.297293,0.4521770814941687,2118034313.355968,0.4954072027994284,3957146198.786516,0.9255745844376904
BRIGANTINE CITY,ATLANTIC,4695425742.574258,515927467.1449652,0.1098787405936291,2677152761.5800805,0.5701618784652182,2947305923.38447,0.6276972706991667,4525211554.70783,0.9637489341332639
BUENA BORO,ATLANTIC,495719351.9351936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENA VISTA TWP,ATLANTIC,1097109090.909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORBIN CITY CITY,ATLANTIC,88423942.39423943,21684979.830904853,0.24523878085215944,29964492.658691294,0.3388730681685077,30999431.7621646,0.35057735408305124,38171814.27331556,0.4316909339229184
EGG HARBOR CITY,ATLANTIC,353355355.5355536,714161.6204245928,0.002021086165065173,775632.7255512757,0.002195050148244417,783316.613692111,0.002216795646141823,971264.5464319716,0.0027486906062592444
EGG HARBOR TWP,ATLANTIC,7433436885.688569,338470032.22838765,0.04553345073528996,559247141.3787415,0.07523399337060999,586844280.0225357,0.07894656120002498,722859802.794454,0.09724435868772356
ESTELL MANOR CITY,ATLANTIC,267330333.0333033,3300141.9745187717,0.012344809274253398,5351549.3751287535,0.02001848916434811,5607975.300205001,0.020977699150609947,7552731.628588994,0.02825243040283085
FOLSOM BORO,ATLANTIC,304122052.2052205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALLOWAY TWP,ATLANTIC,4385227722.772277,40192897.4775717,0.009165521158422838,51243318.662244014,0.011685440734614515,52624621.31032805,0.012000430681638474,65547603.15878172,0.014947365861616756
HAMILTON TWP,ATLANTIC,3128697749.7749777,79912870.3966295,0.025541895314872456,99824766.10080536,0.031906171220273664,102313753.06382734,0.03270170570844881,114377503.68904252,0.03655754337320337
HAMMONTON TOWN,ATLANTIC,2468207380.738074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINWOOD CITY,ATLANTIC,1466084788.478848,76072406.63985842,0.05188813582793405,181556300.7829612,0.12383751759087336,194741787.55084905,0.1328311903112408,299291998.8468794,0.20414371747040158
LONGPORT BORO,ATLANTIC,2772307290.729073,219626807.96038407,0.0792216680650238,2057499568.0532038,0.7421614389334574,2287233663.0648065,0.8250289102920118,2771768809.436703,0.9998057642115755
MARGATE CITY CITY,ATLANTIC,6172366696.669667,548804102.5261196,0.08891307491860938,4219692799.3387947,0.6836425971929944,4678553886.440379,0.7579837874772926,6100267596.597618,0.9883190510844162
MULLICA TWP,ATLANTIC,814277227.7227722,100797429.98616949,0.12378760765306192,126449946.93056688,0.15529102696903352,129656511.54861656,0.15922895438353,136463714.22242412,0.16758876409212856
NORTHFIELD CITY,ATLANTIC,1379036003.6003602,11962786.054234,0.0086747452735112,19367515.017023563,0.014044241750367094,20293106.13737226,0.01471542880997408,36297819.5086034,0.02632115435263312
PLEASANTVILLE CITY,ATLANTIC,1419181278.1278129,23068145.155814752,0.01625454444145874,56709416.65798411,0.03995924800586102,60914575.59575528,0.04292233595141131,96702155.51535848,0.06813939628835027
PORT REPUBLIC CITY,ATLANTIC,182443924.39243925,26121331.939223956,0.1431745783051489,42813130.83677829,0.2346646016267809,44899605.69897258,0.2461008545419849,57136377.00233648,0.31317226480743415
SOMERS POINT CITY,ATLANTIC,1800698829.8829882,115581439.86318062,0.06418699115314651,438822108.0708447,0.24369544800523915,479227191.5968027,0.2661340051117507,731008291.1756793,0.40595810862118525
VENTNOR CITY,ATLANTIC,3882280108.010801,282506360.26891124,0.0727681549010284,1687657378.8743916,0.43470778303503504,1863301256.200077,0.479950236551786,2821820257.5229383,0.7268461262494478
WEYMOUTH TWP,ATLANTIC,292688748.87488747,30833986.744629703,0.10534735914228797,47433829.92330652,0.16206236182854625,49508810.32064112,0.16915173716432852,67004314.38355334,0.22892685366664012
ALLENDALE BORO,BERGEN,2963142369.7677474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPINE BORO,BERGEN,2636446660.5432363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERGENFIELD BORO,BERGEN,3580287757.512138,432256.5058511059,0.00012073233637272534,432256.50586327416,0.00012073233637612401,432256.5058647952,0.00012073233637654884,432256.5059093084,0.0001207323363889817
BOGOTA BORO,BERGEN,1607961422.385514,34591261.239057794,0.02151249448991098,75177870.6389471,0.04675352878019667,80251196.81393325,0.04990865806648237,106613637.74234444,0.06630360421469332
CARLSTADT BORO,BERGEN,1480301535.2315972,0.0,0.0,29738612.999402493,0.020089564383752263,33455939.62432781,0.0226007599317213,70737042.78589645,0.04778556334796306
CLIFFSIDE PARK BORO,BERGEN,4035055504.5269656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLOSTER BORO,BERGEN,3882207059.4410186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRESSKILL BORO,BERGEN,3569206665.791892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEMAREST BORO,BERGEN,3263189738.8794127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUMONT BORO,BERGEN,4006175829.943578,14247605.847449746,0.0035564105152245417,14247605.84606917,0.00355641051487993,14247605.845896598,0.0035564105148368536,14259913.697361602,0.0035594827343268243
E RUTHERFORD BORO,BERGEN,3888508069.8071127,449018687.4839552,0.11547325591797693,1551466804.0333822,0.39898767758255976,1689272818.6020606,0.43442698029063265,1856425386.330402,0.4774132785643129
EDGEWATER BORO,BERGEN,5734565089.883218,762938835.5792787,0.13304214419420177,1014633402.9153274,0.17693292987559237,1046095223.8323336,0.1824192780857662,1889519719.716036,0.3294966035086918
ELMWOOD PARK BORO,BERGEN,2853122818.527753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMERSON BORO,BERGEN,1598042251.673009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENGLEWOOD CITY,BERGEN,6011352709.618161,55956594.19854479,0.009308486276144515,800149042.474049,0.13310632084419385,893173098.508487,0.1485810501652,1067561020.9722996,0.17759081400500798
ENGLEWOOD CLIFFS BORO,BERGEN,4622685211.914448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAIRLAWN BORO,BERGEN,5759892533.788218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAIRVIEW BORO,BERGEN,2337810261.1205883,19346736.145287327,0.008275580130277044,114613526.9692443,0.04902601758378215,126521875.8222389,0.05411982226547028,158585766.29224953,0.06783517419255156
FORT LEE BORO,BERGEN,8784292100.774178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANKLIN LAKES BORO,BERGEN,6012134890.434327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARFIELD CITY,BERGEN,2833871670.3844643,35567165.52217624,0.012550732587460792,52095436.15818532,0.018383131707272286,54161469.987686455,0.01911218159724872,59447692.15017217,0.020977552643414884
GLEN ROCK BORO,BERGEN,3233682325.15418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HACKENSACK CITY,BERGEN,8571341556.226218,299698443.0951698,0.03496517331962684,1358823611.7888384,0.15853103074649844,1491214257.8755472,0.17397676292485742,2328816362.2970567,0.2716980004845806
HARRINGTON PARK BORO,BERGEN,1235507216.900669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HASBROUCK HGHTS BORO,BERGEN,2972530507.807375,33395175.74399656,0.011234594785918551,279500539.5864662,0.09402781194418554,310263710.0667749,0.10437696408896892,390590473.1396277,0.13139998802829397
HAWORTH BORO,BERGEN,1143670778.1131086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HILLSDALE BORO,BERGEN,2249032016.7956963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOHOKUS BORO,BERGEN,1586130691.5103006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEONIA BORO,BERGEN,1633158509.3819711,0.0,0.0,103748927.89762974,0.06352655134307263,116717543.88483346,0.0714673702609567,159115075.18131116,0.09742782116202815
LITTLE FERRY BORO,BERGEN,2119686524.078205,944934232.222836,0.44578961157181607,1723195139.6097593,0.812948103427289,1820477753.033125,0.8588429149092232,1897135573.7330797,0.895007611825099
LODI BORO,BERGEN,2635158378.1655955,0.0,0.0,0.0,0.0,0.0,0.0,2870323.815580223,0.001089241481408921
LYNDHURST TWP,BERGEN,5007705156.80357,22771755.7390751,0.0045473435487983814,492449134.39033586,0.09833828449769741,551158806.7217435,0.11006215211630979,746846191.7955729,0.14913940985141516
MAHWAH TWP,BERGEN,7580661068.1013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAYWOOD BORO,BERGEN,2601557275.9480386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDLAND PARK BORO,BERGEN,1425563836.7668288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTVALE BORO,BERGEN,3038686091.064165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOONACHIE BORO,BERGEN,1665131872.4576828,1295944324.58754,0.7782832975713607,1619178082.8855562,0.9724023121938683,1659582302.6728082,0.9966671890216817,1664959379.4849734,0.99989640882169
NEW MILFORD BORO,BERGEN,4116948169.531558,58961467.38921712,0.014321644325176429,106601839.77128977,0.025893413125825028,112556886.31904884,0.0273398842259061,218124620.7057729,0.05298211483935003
NORTH ARLINGTON BORO,BERGEN,3417164545.3352585,120969374.28722247,0.03540051193974745,278282961.2249995,0.08143680455917206,297947159.5922216,0.08719134113660014,372509797.5427449,0.10901137261629813
NORTHVALE BORO,BERGEN,1170096312.8198402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORWOOD BORO,BERGEN,1630885185.671172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OAKLAND BORO,BERGEN,4489420942.133579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLD TAPPAN BORO,BERGEN,2408056554.257972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORADELL BORO,BERGEN,3088130560.2939253,7857023.14565681,0.002544265209081376,10611617.656814687,0.003436259396948775,10955941.97070942,0.0035477586704322,12661220.6809873,0.004099962884918382
PALISADES PARK BORO,BERGEN,5385173599.265189,50313461.33573479,0.009342959963741949,280399811.87490916,0.05206885288028039,309160605.692306,0.0574095894948477,356988104.40392715,0.06629091854209462
PARAMUS BORO,BERGEN,14526438157.722086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARK RIDGE BORO,BERGEN,2073432414.381315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAMSEY BORO,BERGEN,6568556095.000657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIDGEFIELD BORO,BERGEN,3213095131.872458,195632010.6063171,0.06088584451351458,372801020.0904303,0.11602551583126561,394947146.2759445,0.12291797474598448,482794016.86078966,0.15025823918865341
RIDGEFIELD PARK VILLAGE,BERGEN,2356600511.743866,187465491.6123617,0.07954911775591472,451508275.89867413,0.19159304839688826,484513623.9344632,0.20559853972700995,665984867.5178345,0.28260405792113275
RIDGEWOOD VILLAGE,BERGEN,8041586405.983468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIVEREDGE BORO,BERGEN,3356357695.840441,23751488.63361842,0.0070765665599509305,83649934.5925985,0.024922830691218183,91137240.33747102,0.027153613707626596,152128938.4211206,0.04532560358797726
RIVERVALE TWP,BERGEN,2965404725.101693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHELLE PARK TWP,BERGEN,1262531032.6728778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCKLEIGH BORO,BERGEN,328965017.7142108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUTHERFORD BORO,BERGEN,3381887022.7004337,11991815.66669873,0.0035458948173624307,129089226.06716228,0.03817076833160578,143726402.36722022,0.0424988775208862,186225579.68565375,0.0550655827458579
